domain,value,var,,,,
ppd,1.018795398,Y,"Y[(:ppd,)]",1.018795398,"Y[(:ppd,)]",1.01879529
res,1.039164509,Y,"Y[(:res,)]",1.039164509,"Y[(:res,)]",1.03916451
com,0.999213507,Y,"Y[(:com,)]",0.999213507,"Y[(:com,)]",0.9992139
amb,0.969241606,Y,"Y[(:amb,)]",0.969241606,"Y[(:amb,)]",0.96924162
fbp,1.044019876,Y,"Y[(:fbp,)]",1.044019876,"Y[(:fbp,)]",1.04401989
rec,1.025576661,Y,"Y[(:rec,)]",1.025576661,"Y[(:rec,)]",1.02557422
con,0.998727852,Y,"Y[(:con,)]",0.998727852,"Y[(:con,)]",0.99872728
agr,1.026509376,Y,"Y[(:agr,)]",1.026509376,"Y[(:agr,)]",1.02650939
eec,0.993423068,Y,"Y[(:eec,)]",0.993423068,"Y[(:eec,)]",0.99337733
fnd,1,Y,"Y[(:fnd,)]",1,"Y[(:fnd,)]",1
pub,0.995058225,Y,"Y[(:pub,)]",0.995058225,"Y[(:pub,)]",0.99505822
hou,0.946697277,Y,"Y[(:hou,)]",0.946697277,"Y[(:hou,)]",0.94671353
fbt,1.02333194,Y,"Y[(:fbt,)]",1.02333194,"Y[(:fbt,)]",1.0233319
ins,0.995264349,Y,"Y[(:ins,)]",0.995264349,"Y[(:ins,)]",0.99526442
tex,0.987755013,Y,"Y[(:tex,)]",0.987755013,"Y[(:tex,)]",0.98775546
leg,1.005284277,Y,"Y[(:leg,)]",1.005284277,"Y[(:leg,)]",1.0052842
fen,1.00420712,Y,"Y[(:fen,)]",1.00420712,"Y[(:fen,)]",1.00420868
uti,1.028145696,Y,"Y[(:uti,)]",1.028145696,"Y[(:uti,)]",1.02814524
nmp,0.997668771,Y,"Y[(:nmp,)]",0.997668771,"Y[(:nmp,)]",0.99766877
brd,1.023147626,Y,"Y[(:brd,)]",1.023147626,"Y[(:brd,)]",1.02314763
bnk,0.981976557,Y,"Y[(:bnk,)]",0.981976557,"Y[(:bnk,)]",0.98197543
ore,1.004338442,Y,"Y[(:ore,)]",1.004338442,"Y[(:ore,)]",1.00433841
edu,0.961325643,Y,"Y[(:edu,)]",0.961325643,"Y[(:edu,)]",0.96132564
ote,1.002793495,Y,"Y[(:ote,)]",1.002793495,"Y[(:ote,)]",1.00279355
man,1.015755778,Y,"Y[(:man,)]",1.015755778,"Y[(:man,)]",1.01575578
mch,1.005834418,Y,"Y[(:mch,)]",1.005834418,"Y[(:mch,)]",1.00583507
dat,0.997027705,Y,"Y[(:dat,)]",0.997027705,"Y[(:dat,)]",0.99702771
amd,1.057317167,Y,"Y[(:amd,)]",1.057317167,"Y[(:amd,)]",1.05731717
oil,1.076018999,Y,"Y[(:oil,)]",1.076018999,"Y[(:oil,)]",1.07601898
hos,0.969741674,Y,"Y[(:hos,)]",0.969741674,"Y[(:hos,)]",0.96974167
rnt,1.020062101,Y,"Y[(:rnt,)]",1.020062101,"Y[(:rnt,)]",1.02006973
pla,1.008034118,Y,"Y[(:pla,)]",1.008034118,"Y[(:pla,)]",1.00803412
fof,1.012001623,Y,"Y[(:fof,)]",1.012001623,"Y[(:fof,)]",1.01172912
fin,0.973024379,Y,"Y[(:fin,)]",0.973024379,"Y[(:fin,)]",0.97293966
