domain,value,var
ppd,1.0187953968670145,Y
res,1.0391645102307883,Y
com,0.9992135080974565,Y
amb,0.9692416078186292,Y
fbp,1.0440198766869864,Y
rec,1.0255766609602854,Y
con,0.9987278473254052,Y
agr,1.0265093777796084,Y
eec,0.9934230639423975,Y
fnd,0.9999999999999999,Y
pub,0.9950582226628208,Y
hou,0.9466972754350127,Y
fbt,1.023331942881625,Y
ins,0.9952643524444054,Y
tex,0.9877550165637043,Y
leg,1.0052842755292226,Y
fen,1.0042071191749156,Y
uti,1.0281456954742618,Y
nmp,0.9976687661860035,Y
brd,1.0231476257555694,Y
bnk,0.981976556404092,Y
ore,1.0043384433474023,Y
edu,0.9613256436631479,Y
ote,1.002793493218654,Y
man,1.0157557775717598,Y
mch,1.0058344196870082,Y
dat,0.9970277060882564,Y
amd,1.0573171681076408,Y
oil,1.0760189960043045,Y
hos,0.9697416703097612,Y
rnt,1.020062098319725,Y
pla,1.0080341178689636,Y
fof,1.012001620999158,Y
fin,0.9730243776378903,Y
tsv,1.0015271554097598,Y
nrs,0.9863915074241053,Y
sec,0.9817910619400501,Y
art,1.0064716173609622,Y
mov,1.0070157902754657,Y
fpd,1.0193346455369137,Y
slg,1.0,Y
pri,1.0037685851348253,Y
grd,0.991541344732879,Y
pip,1.0279433591388591,Y
sle,0.9964586442368911,Y
osv,0.9926857818478001,Y
trn,1.021871388869376,Y
smn,0.9704721817961058,Y
fmt,1.0018351909180931,Y
pet,1.0846338216162168,Y
mvt,1.0230990087418195,Y
cep,0.9852669881413366,Y
wst,1.0029195587713065,Y
mot,1.0240404804868166,Y
adm,1.0024044138827133,Y
soc,0.9775179375416522,Y
alt,0.8492907952138466,Y
pmt,1.018586730340794,Y
trk,1.0264747055705081,Y
fdd,1.0,Y
gmt,1.0231104182885244,Y
wtt,1.0154952753950157,Y
wpd,1.0065181451467626,Y
wht,1.023030980336941,Y
wrh,1.0194303238373503,Y
ott,1.023494551115913,Y
che,1.005445257359683,Y
air,1.085347914216495,Y
mmf,0.996969582531447,Y
otr,1.0224548485980962,Y
min,1.0168041982394989,Y
ppd,1.015986864416824,A
res,1.0367103097348787,A
com,1.0009498886272243,A
amb,0.9703460289876201,A
fbp,1.0418646091649504,A
rec,1.0253805602630888,A
con,0.9985045090169111,A
agr,1.0235957718631352,A
eec,1.007211097683333,A
fnd,1.0,A
pub,0.9953906479157112,A
hou,0.9473402372009344,A
fbt,0.0,A
ins,0.9950123053065518,A
tex,1.0245556810775476,A
leg,1.0053916034869215,A
fen,1.004195696065402,A
uti,1.0204804223662152,A
nmp,1.0057216137808647,A
brd,1.023139724176589,A
bnk,0.9822476919048418,A
ore,1.0042505473124936,A
edu,0.9719042524293916,A
ote,1.0032554154058773,A
man,1.0157557775717598,A
mch,1.0064743700058527,A
dat,0.9970951364741137,A
amd,1.0422794271019886,A
oil,1.0735762480369895,A
hos,0.9758434061772367,A
rnt,1.0129865035978973,A
pla,1.0131575688359793,A
fof,1.0150793421684228,A
fin,0.9772321180510181,A
tsv,1.001976708541034,A
nrs,0.986301951528178,A
sec,0.9818469488491377,A
art,1.0064484368529418,A
mov,1.0073073477873462,A
fpd,1.010830243901067,A
slg,1.0,A
pri,1.002642225726295,A
grd,0.9925778115994436,A
pip,1.0622261170259395,A
sle,0.9969964662520777,A
osv,0.9990431187198963,A
trn,0.9869655491159901,A
smn,1.0073196338811714,A
fmt,1.0089421405579897,A
pet,1.078775354481753,A
mvt,0.0,A
cep,0.99866030450169,A
wst,1.0029811749532291,A
mot,1.0159592683636873,A
adm,1.002411944870278,A
soc,0.9781181150767896,A
alt,1.0776072557328311,A
pmt,1.0140389207333034,A
trk,1.0181067992330857,A
fdd,1.0,A
gmt,0.0,A
wtt,1.0069376792159814,A
wpd,1.0063465025137137,A
wht,1.0198012637084977,A
wrh,1.0196995810856613,A
ott,0.984339732096034,A
che,1.0069058168270766,A
air,1.0779792131617931,A
mmf,1.0071156138097748,A
otr,1.0210803021823454,A
min,1.0163015543631582,A
trn,1.0274842101820276,MS
trd,1.0227852193995215,MS
ppd,0.9456343667178702,PA
res,0.9054386771576292,PA
com,0.9743656839275371,PA
amb,0.9770958411851584,PA
fbp,0.9055822676741185,PA
rec,0.9239495077997535,PA
con,0.9619352530447987,PA
agr,0.9690620080436001,PA
eec,0.9378414302661416,PA
fnd,0.9800781786262671,PA
pub,0.9558341842795901,PA
hou,1.0005642248590918,PA
fbt,0.0,PA
ins,0.9553823563459823,PA
tex,0.9127237316474428,PA
leg,0.93514898386086,PA
fen,0.9774869600318706,PA
uti,0.9192686792060546,PA
nmp,0.939368146506925,PA
brd,0.9128475969072165,PA
bnk,0.9790083884136016,PA
ore,0.9651338005807939,PA
edu,0.9786103569397305,PA
ote,0.9614419062774169,PA
man,0.9755621591290669,PA
mch,0.947639062595836,PA
dat,0.9679525489020401,PA
amd,0.8928225379353729,PA
oil,0.9449836703135387,PA
hos,0.9713059325034613,PA
rnt,0.9320682812107546,PA
pla,0.9367523183238156,PA
fof,0.96616521928466,PA
fin,0.9705137437895985,PA
tsv,0.9742583247214034,PA
nrs,0.9612242747770599,PA
sec,0.9736136719367088,PA
art,0.945780764535908,PA
mov,0.9505365216654447,PA
fpd,0.9268630290985393,PA
slg,0.971202574157352,PA
pri,0.9533226887429229,PA
grd,0.9611842323310779,PA
pip,0.7798613943343596,PA
sle,0.9555198706121805,PA
osv,0.9517625275431977,PA
trn,1.1424298876883394,PA
smn,0.9667555424655927,PA
fmt,0.9470092425199558,PA
pet,0.820924986208171,PA
mvt,0.0,PA
cep,0.9576572871673716,PA
wst,0.9540045155990667,PA
mot,0.9299588250268787,PA
adm,0.9677223822512848,PA
soc,0.9691590903312092,PA
alt,0.8760661025152754,PA
pmt,0.9597001477675176,PA
trk,0.9420493559859131,PA
fdd,0.9753970845870109,PA
gmt,0.0,PA
wtt,0.9474996486956356,PA
wpd,0.9449916702984008,PA
wht,0.9750148897385295,PA
wrh,0.9685711723888847,PA
ott,0.9752579658661705,PA
che,0.9446443144104225,PA
air,0.8543713920013236,PA
mmf,0.9336377553980766,PA
otr,0.9609607906518389,PA
min,0.9334001004520905,PA
ppd,0.9578682849126182,PY
res,0.9685140363795414,PY
com,0.9819962214555179,PY
amb,0.9775720445613546,PY
fbp,0.9553746285213234,PY
rec,0.969420794314058,PY
con,0.9630615502250034,PY
agr,0.9584255740588661,PY
eec,0.9676188061589649,PY
fnd,0.9800781786262671,PY
pub,0.9798701701967014,PY
hou,0.9821259826042742,PY
fbt,0.9768773211915628,PY
ins,0.9711025179570195,PY
tex,0.9564189980199349,PY
leg,0.9790460625706371,PY
fen,0.9774656083644605,PY
uti,0.9628734410512402,PY
nmp,0.9639079054539528,PY
brd,0.9627376732245013,PY
bnk,0.9780216033202553,PY
ore,0.9645807768741793,PY
edu,0.9792788386012089,PY
ote,0.9703429604951903,PY
man,0.9780794202415064,PY
mch,0.965957070937376,PY
dat,0.9713091679156838,PY
amd,0.970212485735858,PY
oil,0.970185926041612,PY
hos,0.9728950641679492,PY
rnt,0.9759062062289977,PY
pla,0.9589902440665107,PY
fof,0.9762735897910224,PY
fin,0.9707142173779701,PY
tsv,0.976674040478294,PY
nrs,0.9727655339489902,PY
sec,0.9758176227601316,PY
art,0.9769540768896547,PY
mov,0.974591028390976,PY
fpd,0.9616260053786173,PY
slg,0.971202574157352,PY
pri,0.9626210895413839,PY
grd,0.9716952459916398,PY
pip,0.9812940893056571,PY
sle,0.9555198706121804,PY
osv,0.9743286515027401,PY
trn,0.9615392604497754,PY
smn,0.966869521659463,PY
fmt,0.9695402214589118,PY
pet,0.950760039634884,PY
mvt,0.9781231740389584,PY
cep,0.9834169407631107,PY
wst,0.9683854864976251,PY
mot,0.9503919004852109,PY
adm,0.9743707455882924,PY
soc,0.9729156458183587,PY
alt,0.958960453980188,PY
pmt,0.962191267053654,PY
trk,0.9529905717791236,PY
fdd,0.9753970845870111,PY
gmt,0.9777474364594839,PY
wtt,0.9575001448827682,PY
wpd,0.9624469944053784,PY
wht,0.9749882655625084,PY
wrh,0.9697361984782169,PY
ott,0.9752579658661706,PY
che,0.9617698201503347,PY
air,0.9523839145828951,PY
mmf,0.9703274847683576,PY
otr,0.9628344778270534,PY
min,0.9625961348907311,PY
compen,0.9915995807024868,PVA
surplus,0.9842097536458303,PVA
trn,0.9576311497847896,PM
trd,0.975541247031002,PM
