t_elas_y,,,,,,,,,,,,,,,,,,,,,,,
"Y[(:ppd,)]",1,,2,13,16,58,73,84,87,129,146,210,204,214,281,275,285,286,287,288,144,145,289
"Y[(:res,)]",1,,10,21,24,66,81,92,95,137,154,218,212,222,289,283,293,294,295,296,152,153,297
"Y[(:com,)]",1,,"10,","21,","24,","66,","81,","92,","95,","137,","154,","218,","212,","222,","289,","283,","293,","294,","295,","296,","152,","153,",
"Y[(:amb,)]",1,,,,,,,,,,,,,,,,,,,,,,
"Y[(:fbp,)]",1,,,,,,,,,,,,,,,,,,,,,,
"Y[(:rec,)]",1,,,,,,,,,,,,,,,,,,,,,,
"Y[(:con,)]",1,,,,,,,,,,,,,,,,,,,,,,
"Y[(:agr,)]",1,,,,,,,,,,,,,,,,,,,,,,
"Y[(:eec,)]",1,,,,,,,,,,,,,,,,,,,,,,
"Y[(:fnd,)]",1,,,,,,,,,,,,,,,,,,,,,,
"Y[(:pub,)]",1,,,,,,,,,,,,,,,,,,,,,,
"Y[(:hou,)]",1,,,,,,,,,,,,,,,,,,,,,,
"Y[(:fbt,)]",1,,,,,,,,,,,,,,,,,,,,,,
"Y[(:ins,)]",1,,,,,,,,,,,,,,,,,,,,,,
"Y[(:tex,)]",1,,,,,,,,,,,,,,,,,,,,,,
"Y[(:leg,)]",1,,,,,,,,,,,,,,,,,,,,,,
"Y[(:fen,)]",1,,,,,,,,,,,,,,,,,,,,,,
"Y[(:uti,)]",1,,,,,,,,,,,,,,,,,,,,,,
"Y[(:nmp,)]",1,,,,,,,,,,,,,,,,,,,,,,
"Y[(:brd,)]",1,,,,,,,,,,,,,,,,,,,,,,
"Y[(:bnk,)]",1,,,,,,,,,,,,,,,,,,,,,,
"Y[(:ore,)]",2,,,,,,,,,,,,,,,,,,,,,,
"Y[(:edu,)]",2,,,,,,,,,,,,,,,,,,,,,,
"Y[(:ote,)]",2,,,,,,,,,,,,,,,,,,,,,,
"Y[(:man,)]",2,,,,,,,,,,,,,,,,,,,,,,
"Y[(:mch,)]",2,,,,,,,,,,,,,,,,,,,,,,
"Y[(:dat,)]",2,,,,,,,,,,,,,,,,,,,,,,
"Y[(:amd,)]",2,,,,,,,,,,,,,,,,,,,,,,
"Y[(:oil,)]",2,,,,,,,,,,,,,,,,,,,,,,
"Y[(:hos,)]",2,,,,,,,,,,,,,,,,,,,,,,
"Y[(:rnt,)]",2,,,,,,,,,,,,,,,,,,,,,,
"Y[(:pla,)]",2,,,,,,,,,,,,,,,,,,,,,,
"Y[(:fof,)]",2,,,,,,,,,,,,,,,,,,,,,,
"Y[(:fin,)]",2,,,,,,,,,,,,,,,,,,,,,,
"Y[(:tsv,)]",2,,,,,,,,,,,,,,,,,,,,,,
"Y[(:nrs,)]",2,,,,,,,,,,,,,,,,,,,,,,
"Y[(:sec,)]",2,,,,,,,,,,,,,,,,,,,,,,
"Y[(:art,)]",2,,,,,,,,,,,,,,,,,,,,,,
"Y[(:mov,)]",2,,,,,,,,,,,,,,,,,,,,,,
"Y[(:fpd,)]",2,,,,,,,,,,,,,,,,,,,,,,
"Y[(:slg,)]",2,,,,,,,,,,,,,,,,,,,,,,
"Y[(:pri,)]",2,,,,,,,,,,,,,,,,,,,,,,
"Y[(:grd,)]",3,,,,,,,,,,,,,,,,,,,,,,
"Y[(:pip,)]",3,,,,,,,,,,,,,,,,,,,,,,
"Y[(:sle,)]",3,,,,,,,,,,,,,,,,,,,,,,
"Y[(:osv,)]",3,,,,,,,,,,,,,,,,,,,,,,
"Y[(:trn,)]",3,,,,,,,,,,,,,,,,,,,,,,
"Y[(:smn,)]",3,,,,,,,,,,,,,,,,,,,,,,
"Y[(:fmt,)]",3,,,,,,,,,,,,,,,,,,,,,,
"Y[(:pet,)]",3,,,,,,,,,,,,,,,,,,,,,,
"Y[(:mvt,)]",3,,,,,,,,,,,,,,,,,,,,,,
"Y[(:cep,)]",3,,,,,,,,,,,,,,,,,,,,,,
"Y[(:wst,)]",3,,,,,,,,,,,,,,,,,,,,,,
"Y[(:mot,)]",3,,,,,,,,,,,,,,,,,,,,,,
"Y[(:adm,)]",3,,,,,,,,,,,,,,,,,,,,,,
"Y[(:soc,)]",3,,,,,,,,,,,,,,,,,,,,,,
"Y[(:alt,)]",3,,,,,,,,,,,,,,,,,,,,,,
"Y[(:pmt,)]",3,,,,,,,,,,,,,,,,,,,,,,
"Y[(:trk,)]",3,,,,,,,,,,,,,,,,,,,,,,
"Y[(:fdd,)]",3,,,,,,,,,,,,,,,,,,,,,,
"Y[(:gmt,)]",3,,,,,,,,,,,,,,,,,,,,,,
"Y[(:wtt,)]",3,,,,,,,,,,,,,,,,,,,,,,
"Y[(:wpd,)]",3,,,,,,,,,,,,,,,,,,,,,,
"Y[(:wht,)]",4,,,,,,,,,,,,,,,,,,,,,,
"Y[(:wrh,)]",4,,,,,,,,,,,,,,,,,,,,,,
"Y[(:ott,)]",4,,,,,,,,,,,,,,,,,,,,,,
"Y[(:che,)]",4,,,,,,,,,,,,,,,,,,,,,,
"Y[(:air,)]",4,,,,,,,,,,,,,,,,,,,,,,
"Y[(:mmf,)]",4,,,,,,,,,,,,,,,,,,,,,,
"Y[(:otr,)]",4,,,,,,,,,,,,,,,,,,,,,,
"Y[(:min,)]",4,,,,,,,,,,,,,,,,,,,,,,
"A[(:ppd,)]",5,,,,,,,,,,,,,,,,,,,,,,
"A[(:res,)]",5,,,,,,,,,,,,,,,,,,,,,,
"A[(:com,)]",5,,,,,,,,,,,,,,,,,,,,,,
"A[(:amb,)]",5,,,,,,,,,,,,,,,,,,,,,,
"A[(:fbp,)]",5,,,,,,,,,,,,,,,,,,,,,,
"A[(:rec,)]",5,,,,,,,,,,,,,,,,,,,,,,
"A[(:con,)]",5,,,,,,,,,,,,,,,,,,,,,,
"A[(:agr,)]",5,,,,,,,,,,,,,,,,,,,,,,
"A[(:eec,)]",5,,,,,,,,,,,,,,,,,,,,,,
"A[(:fnd,)]",5,,,,,,,,,,,,,,,,,,,,,,
"A[(:pub,)]",5,,,,,,,,,,,,,,,,,,,,,,
"A[(:hou,)]",5,,,,,,,,,,,,,,,,,,,,,,
"A[(:fbt,)]",5,,,,,,,,,,,,,,,,,,,,,,
"A[(:ins,)]",5,,,,,,,,,,,,,,,,,,,,,,
"A[(:tex,)]",5,,,,,,,,,,,,,,,,,,,,,,
"A[(:leg,)]",5,,,,,,,,,,,,,,,,,,,,,,
"A[(:fen,)]",5,,,,,,,,,,,,,,,,,,,,,,
"A[(:uti,)]",5,,,,,,,,,,,,,,,,,,,,,,
"A[(:nmp,)]",5,,,,,,,,,,,,,,,,,,,,,,
"A[(:brd,)]",5,,,,,,,,,,,,,,,,,,,,,,
"A[(:bnk,)]",5,,,,,,,,,,,,,,,,,,,,,,
"A[(:ore,)]",6,,,,,,,,,,,,,,,,,,,,,,
"A[(:edu,)]",6,,,,,,,,,,,,,,,,,,,,,,
"A[(:ote,)]",6,,,,,,,,,,,,,,,,,,,,,,
"A[(:man,)]",6,,,,,,,,,,,,,,,,,,,,,,
"A[(:mch,)]",6,,,,,,,,,,,,,,,,,,,,,,
"A[(:dat,)]",6,,,,,,,,,,,,,,,,,,,,,,
"A[(:amd,)]",6,,,,,,,,,,,,,,,,,,,,,,
"A[(:oil,)]",6,,,,,,,,,,,,,,,,,,,,,,
"A[(:hos,)]",6,,,,,,,,,,,,,,,,,,,,,,
"A[(:rnt,)]",6,,,,,,,,,,,,,,,,,,,,,,
"A[(:pla,)]",6,,,,,,,,,,,,,,,,,,,,,,
"A[(:fof,)]",6,,,,,,,,,,,,,,,,,,,,,,
"A[(:fin,)]",6,,,,,,,,,,,,,,,,,,,,,,
"A[(:tsv,)]",6,,,,,,,,,,,,,,,,,,,,,,
"A[(:nrs,)]",6,,,,,,,,,,,,,,,,,,,,,,
"A[(:sec,)]",6,,,,,,,,,,,,,,,,,,,,,,
"A[(:art,)]",6,,,,,,,,,,,,,,,,,,,,,,
"A[(:mov,)]",6,,,,,,,,,,,,,,,,,,,,,,
"A[(:fpd,)]",6,,,,,,,,,,,,,,,,,,,,,,
"A[(:slg,)]",6,,,,,,,,,,,,,,,,,,,,,,
"A[(:pri,)]",6,,,,,,,,,,,,,,,,,,,,,,
"A[(:grd,)]",7,,,,,,,,,,,,,,,,,,,,,,
"A[(:pip,)]",7,,,,,,,,,,,,,,,,,,,,,,
"A[(:sle,)]",7,,,,,,,,,,,,,,,,,,,,,,
"A[(:osv,)]",7,,,,,,,,,,,,,,,,,,,,,,
"A[(:trn,)]",7,,,,,,,,,,,,,,,,,,,,,,
"A[(:smn,)]",7,,,,,,,,,,,,,,,,,,,,,,
"A[(:fmt,)]",7,,,,,,,,,,,,,,,,,,,,,,
"A[(:pet,)]",7,,,,,,,,,,,,,,,,,,,,,,
"A[(:mvt,)]",7,,,,,,,,,,,,,,,,,,,,,,
"A[(:cep,)]",7,,,,,,,,,,,,,,,,,,,,,,
"A[(:wst,)]",7,,,,,,,,,,,,,,,,,,,,,,
"A[(:mot,)]",7,,,,,,,,,,,,,,,,,,,,,,
