WiNDC+,SAGE_klem_Y,E3_m_ID,SAGE_kle_VAE,SAGE_kl_VA,E3_e_E_El,SAGE_nf_Armington,Elec %,Dir Energy %,Mat & Services %
agr,0.78,0.34,0.21,0.77,0.59,2.45,0.017736438,0.045133384,0.937130178
fof,0.78,0.34,0.21,0.77,0.59,2.45,0.005642274,0.014357726,0.98
oil,0.49,0.81,0.21,0.27,0.95,7.3,0.015000448,0.038171193,0.946828358
gas,0.49,0.81,0.21,0.27,0.95,7.3,0.015000448,0.038171193,0.946828358
coa,0.49,1.03,0.21,0.27,0.51,3.05,0.036168423,0.092036706,0.871794872
min,0.49,1.11,0.21,0.27,0.81,0.9,0.036168423,0.092036706,0.871794872
smn,0.49,0.88,0.21,0.27,0.89,3.05,0.010532245,0.026801089,0.962666667
uel,0.8,0.72,0.09,0.46,3,2.8,0.127871305,0.325390295,0.546738399
uti,0.8,0.2,0.09,0.46,0.2,2.8,0.127871305,0.325390295,0.546738399
rnw,0.8,0.2,0.09,0.46,0.2,2.8,0.127871305,0.325390295,0.546738399
ugs,0.49,1.27,0.21,0.27,0.89,2.8,0.127871305,0.325390295,0.546738399
uwt,0.8,0.91,0.09,0.46,0.55,2.8,0.127871305,0.325390295,0.546738399
con,0.81,0.63,0.35,0.28,0.74,1.9,0.010695155,0.027215643,0.962089202
fbp,0.78,0.41,0.37,0.46,0.55,3.06,0.004399357,0.011194911,0.984405732
tex,0.88,0.38,0.63,0.44,0.62,4.01,0.008407362,0.021393963,0.970198675
alt,0.93,0.38,0.35,0.1,0.62,3.74,0,0,1
wpd,0.93,0.34,0.35,0.1,0.36,3.75,0.007700374,0.019594912,0.972704715
ppd,0.88,1.15,0.63,0.44,0.56,4.01,0.017387216,0.044244729,0.938368056
pri,0.96,1.15,0.79,0.34,0.56,4.4,0.009702323,0.024689212,0.965608466
pet,0.96,1.05,0.79,0.34,1.6,4.4,0.008161901,0.020769345,0.971068754
che,0.72,0.2,0.46,0.53,0.54,3.46,0.011988694,0.030507272,0.957504034
pla,0.88,0.2,0.63,0.44,0.54,4.01,0.009282451,0.023620775,0.967096774
nmp,0.88,0.91,0.63,0.44,0.7,4.01,0.021390595,0.054432009,0.924177396
pmt,0.52,0.4,0.39,0.57,1.64,2.66,0.01105554,0.028132703,0.960811756
fmt,0.88,1.71,0.63,0.44,0.65,4.01,0.006676407,0.016989253,0.97633434
mch,0.88,0.83,0.63,0.44,0.95,4.01,0.003489779,0.008880335,0.987629886
cep,0.78,0.83,0.37,0.46,0.95,3.06,0.004530734,0.011529223,0.983940043
eec,0.88,0.83,0.63,0.44,0.95,4.01,0.003252031,0.008275346,0.988472622
fpd,0.8,0.83,0.49,0.62,0.95,2.1,0.004864029,0.01237735,0.982758621
mmf,0.88,0.83,0.63,0.44,0.95,4.01,0.003767097,0.009586019,0.986646884
mot,0.98,0.95,0.25,0.53,0.5,3.3,0.001873866,0.00476837,0.993357765
ote,0.85,0.83,0.64,0.52,0.95,3.3,0.006186704,0.015743121,0.978070175
leg,0.88,0.95,0.47,0.76,0.63,1.9,0.00554947,0.00257118,0.99187935
com,0.88,0.95,0.47,0.76,0.63,1.9,0.00996051,0.004614902,0.985424588
tsv,0.88,0.95,0.47,0.76,0.63,1.9,0.009376813,0.004344463,0.986278724
wht,0.88,0.95,0.47,0.76,0.38,1.9,0.01326303,0.006145025,0.980591946
mvt,0.88,0.95,0.47,0.76,0.38,1.9,0.030638762,0.014195546,0.955165692
fbt,0.9,0.95,0.11,0.58,0.38,1.9,0.073541143,0.03407307,0.892385787
gmt,0.9,0.95,0.11,0.58,0.38,1.9,0.057801746,0.026780695,0.915417559
ott,0.9,0.95,0.11,0.58,0.38,1.9,0.02953151,0.013682534,0.956785955
air,0.93,0.95,0.12,0.45,0.41,1.9,0,0.184126984,0.815873016
trn,0.9,0.95,0.11,0.58,0.41,1.9,0,0.099378882,0.900621118
wtt,0.9,0.95,0.11,0.58,0.41,1.9,0,0.121212121,0.878787879
trk,0.9,0.95,0.11,0.58,0.41,1.9,0,0.169585253,0.830414747
grd,0.9,0.95,0.11,0.58,0.41,1.9,0,0.082822086,0.917177914
pip,0.88,0.95,0.47,0.76,0.41,1.9,0.022947047,0.058392666,0.918660287
otr,0.88,0.95,0.47,0.76,0.41,1.9,0,0.096153846,0.903846154
wrh,0.88,0.95,0.47,0.76,0.41,1.9,0.06479251,0.030019655,0.905187835
pub,0.88,1.08,0.47,0.76,0.25,1.9,0.006260683,0.002900698,0.990838619
mov,0.88,1.08,0.47,0.76,0.25,1.9,0.003833815,0.001776283,0.994389902
brd,0.88,1.08,0.47,0.76,0.25,1.9,0.013946482,0.006461682,0.979591837
dat,0.88,0.95,0.47,0.76,0.63,1.9,0.016300186,0.007552199,0.976147615
