commodities,sectors,table,subtable
V003,22,use,capital_demand
V003,23,use,capital_demand
V003,42,use,capital_demand
V003,55,use,capital_demand
V003,61,use,capital_demand
V003,81,use,capital_demand
V003,211,use,capital_demand
V003,212,use,capital_demand
V003,213,use,capital_demand
V003,321,use,capital_demand
V003,322,use,capital_demand
V003,323,use,capital_demand
V003,324,use,capital_demand
V003,325,use,capital_demand
V003,326,use,capital_demand
V003,327,use,capital_demand
V003,331,use,capital_demand
V003,332,use,capital_demand
V003,333,use,capital_demand
V003,334,use,capital_demand
V003,335,use,capital_demand
V003,337,use,capital_demand
V003,339,use,capital_demand
V003,441,use,capital_demand
V003,445,use,capital_demand
V003,452,use,capital_demand
V003,481,use,capital_demand
V003,482,use,capital_demand
V003,483,use,capital_demand
V003,484,use,capital_demand
V003,485,use,capital_demand
V003,486,use,capital_demand
V003,493,use,capital_demand
V003,511,use,capital_demand
V003,512,use,capital_demand
V003,513,use,capital_demand
V003,514,use,capital_demand
V003,523,use,capital_demand
V003,524,use,capital_demand
V003,525,use,capital_demand
V003,561,use,capital_demand
V003,562,use,capital_demand
V003,621,use,capital_demand
V003,622,use,capital_demand
V003,623,use,capital_demand
V003,624,use,capital_demand
V003,713,use,capital_demand
V003,721,use,capital_demand
V003,722,use,capital_demand
V003,5411,use,capital_demand
V003,5415,use,capital_demand
V003,111CA,use,capital_demand
V003,113FF,use,capital_demand
V003,311FT,use,capital_demand
V003,313TT,use,capital_demand
V003,315AL,use,capital_demand
V003,3361MV,use,capital_demand
V003,3364OT,use,capital_demand
V003,487OS,use,capital_demand
V003,4A0,use,capital_demand
V003,521CI,use,capital_demand
V003,532RL,use,capital_demand
V003,5412OP,use,capital_demand
V003,711AS,use,capital_demand
V003,GFE,use,capital_demand
V003,GFGD,use,capital_demand
V003,GFGN,use,capital_demand
V003,GSLE,use,capital_demand
V003,GSLG,use,capital_demand
V003,HS,use,capital_demand
V003,ORE,use,capital_demand
22,MADJ,supply,cif
23,MADJ,supply,cif
42,MADJ,supply,cif
55,MADJ,supply,cif
61,MADJ,supply,cif
81,MADJ,supply,cif
211,MADJ,supply,cif
212,MADJ,supply,cif
213,MADJ,supply,cif
321,MADJ,supply,cif
322,MADJ,supply,cif
323,MADJ,supply,cif
324,MADJ,supply,cif
325,MADJ,supply,cif
326,MADJ,supply,cif
327,MADJ,supply,cif
331,MADJ,supply,cif
332,MADJ,supply,cif
333,MADJ,supply,cif
334,MADJ,supply,cif
335,MADJ,supply,cif
337,MADJ,supply,cif
339,MADJ,supply,cif
441,MADJ,supply,cif
445,MADJ,supply,cif
452,MADJ,supply,cif
481,MADJ,supply,cif
482,MADJ,supply,cif
483,MADJ,supply,cif
484,MADJ,supply,cif
485,MADJ,supply,cif
486,MADJ,supply,cif
493,MADJ,supply,cif
511,MADJ,supply,cif
512,MADJ,supply,cif
513,MADJ,supply,cif
514,MADJ,supply,cif
523,MADJ,supply,cif
524,MADJ,supply,cif
525,MADJ,supply,cif
561,MADJ,supply,cif
562,MADJ,supply,cif
621,MADJ,supply,cif
622,MADJ,supply,cif
623,MADJ,supply,cif
624,MADJ,supply,cif
713,MADJ,supply,cif
721,MADJ,supply,cif
722,MADJ,supply,cif
5411,MADJ,supply,cif
5415,MADJ,supply,cif
111CA,MADJ,supply,cif
113FF,MADJ,supply,cif
311FT,MADJ,supply,cif
313TT,MADJ,supply,cif
315AL,MADJ,supply,cif
3361MV,MADJ,supply,cif
3364OT,MADJ,supply,cif
487OS,MADJ,supply,cif
4A0,MADJ,supply,cif
521CI,MADJ,supply,cif
532RL,MADJ,supply,cif
5412OP,MADJ,supply,cif
711AS,MADJ,supply,cif
GFE,MADJ,supply,cif
GFGD,MADJ,supply,cif
GFGN,MADJ,supply,cif
GSLE,MADJ,supply,cif
GSLG,MADJ,supply,cif
HS,MADJ,supply,cif
ORE,MADJ,supply,cif
22,MDTY,supply,duty
23,MDTY,supply,duty
42,MDTY,supply,duty
55,MDTY,supply,duty
61,MDTY,supply,duty
81,MDTY,supply,duty
211,MDTY,supply,duty
212,MDTY,supply,duty
213,MDTY,supply,duty
321,MDTY,supply,duty
322,MDTY,supply,duty
323,MDTY,supply,duty
324,MDTY,supply,duty
325,MDTY,supply,duty
326,MDTY,supply,duty
327,MDTY,supply,duty
331,MDTY,supply,duty
332,MDTY,supply,duty
333,MDTY,supply,duty
334,MDTY,supply,duty
335,MDTY,supply,duty
337,MDTY,supply,duty
339,MDTY,supply,duty
441,MDTY,supply,duty
445,MDTY,supply,duty
452,MDTY,supply,duty
481,MDTY,supply,duty
482,MDTY,supply,duty
483,MDTY,supply,duty
484,MDTY,supply,duty
485,MDTY,supply,duty
486,MDTY,supply,duty
493,MDTY,supply,duty
511,MDTY,supply,duty
512,MDTY,supply,duty
513,MDTY,supply,duty
514,MDTY,supply,duty
523,MDTY,supply,duty
524,MDTY,supply,duty
525,MDTY,supply,duty
561,MDTY,supply,duty
562,MDTY,supply,duty
621,MDTY,supply,duty
622,MDTY,supply,duty
623,MDTY,supply,duty
624,MDTY,supply,duty
713,MDTY,supply,duty
721,MDTY,supply,duty
722,MDTY,supply,duty
5411,MDTY,supply,duty
5415,MDTY,supply,duty
111CA,MDTY,supply,duty
113FF,MDTY,supply,duty
311FT,MDTY,supply,duty
313TT,MDTY,supply,duty
315AL,MDTY,supply,duty
3361MV,MDTY,supply,duty
3364OT,MDTY,supply,duty
487OS,MDTY,supply,duty
4A0,MDTY,supply,duty
521CI,MDTY,supply,duty
532RL,MDTY,supply,duty
5412OP,MDTY,supply,duty
711AS,MDTY,supply,duty
GFE,MDTY,supply,duty
GFGD,MDTY,supply,duty
GFGN,MDTY,supply,duty
GSLE,MDTY,supply,duty
GSLG,MDTY,supply,duty
HS,MDTY,supply,duty
ORE,MDTY,supply,duty
22,F02E,use,exogenous_final_demand
22,F02N,use,exogenous_final_demand
22,F02R,use,exogenous_final_demand
22,F02S,use,exogenous_final_demand
22,F030,use,exogenous_final_demand
22,F06C,use,exogenous_final_demand
22,F06E,use,exogenous_final_demand
22,F06N,use,exogenous_final_demand
22,F06S,use,exogenous_final_demand
22,F07C,use,exogenous_final_demand
22,F07E,use,exogenous_final_demand
22,F07N,use,exogenous_final_demand
22,F07S,use,exogenous_final_demand
22,F10C,use,exogenous_final_demand
22,F10E,use,exogenous_final_demand
22,F10N,use,exogenous_final_demand
22,F10S,use,exogenous_final_demand
23,F02E,use,exogenous_final_demand
23,F02N,use,exogenous_final_demand
23,F02R,use,exogenous_final_demand
23,F02S,use,exogenous_final_demand
23,F030,use,exogenous_final_demand
23,F06C,use,exogenous_final_demand
23,F06E,use,exogenous_final_demand
23,F06N,use,exogenous_final_demand
23,F06S,use,exogenous_final_demand
23,F07C,use,exogenous_final_demand
23,F07E,use,exogenous_final_demand
23,F07N,use,exogenous_final_demand
23,F07S,use,exogenous_final_demand
23,F10C,use,exogenous_final_demand
23,F10E,use,exogenous_final_demand
23,F10N,use,exogenous_final_demand
23,F10S,use,exogenous_final_demand
42,F02E,use,exogenous_final_demand
42,F02N,use,exogenous_final_demand
42,F02R,use,exogenous_final_demand
42,F02S,use,exogenous_final_demand
42,F030,use,exogenous_final_demand
42,F06C,use,exogenous_final_demand
42,F06E,use,exogenous_final_demand
42,F06N,use,exogenous_final_demand
42,F06S,use,exogenous_final_demand
42,F07C,use,exogenous_final_demand
42,F07E,use,exogenous_final_demand
42,F07N,use,exogenous_final_demand
42,F07S,use,exogenous_final_demand
42,F10C,use,exogenous_final_demand
42,F10E,use,exogenous_final_demand
42,F10N,use,exogenous_final_demand
42,F10S,use,exogenous_final_demand
