,el,foss
adm,0,0
agr,0,0
air,0,0
alt,0,0
amb,0,0
amd,0,0
art,0,0
bnk,0,0
brd,0,0
cep,0,0
che,0,0
com,0,0
con,0,0
dat,0,0
edu,0,0
eec,0,0
fbp,0,0
fbt,0,0
fdd,0,0
fen,0,0
fin,0,0
fmt,0,0
fnd,0,0
fof,0,0
fpd,0,0
gmt,0,0
grd,0,0
hos,0,0
hou,0,0
ins,0,0
leg,0,0
man,0,0
mch,0,0
min,0,33.07549805
mmf,0,0
mot,0,0
mov,0,0
mvt,0,0
nmp,0,0
nrs,0,0
oil,0,297.6794824
ore,0,0
osv,0,0
ote,0,0
otr,0,0
ott,0,0
pet,0,0
pip,0,0
pla,0,0
pmt,0,0
ppd,0,0
pri,0,0
pub,0,0
rec,0,0
res,0,0
rnt,0,0
sec,0,0
sle,0,0
slg,0,0
smn,0,0
soc,0,0
tex,0,0
trk,0,0
trn,0,0
tsv,0,0
uti,290.5187062,0
wht,0,0
wpd,0,0
wrh,0,0
wst,0,0
wtt,0,0
