yr,i,fd,Value
2017,ppd,changinv,0.109851245
2017,ppd,pce,44.48874402
2017,ppd,fed_intelprop,5.65E-12
2017,res,pce,741.1513314
2017,res,fed_intelprop,5.61E-12
2017,com,def_equipment,0.392209629
2017,com,state_equipment,0.002994088
2017,com,def_intelprop,8.919026212
2017,com,equipment,19.88891947
2017,com,state_intelprop,11.2972336
2017,com,intelprop,206.1495635
2017,com,state_consume,5.62E-12
2017,com,fed_intelprop,22.02062362
2017,amb,pce,1033.570254
2017,amb,fed_intelprop,5.60E-12
2017,fbp,changinv,4.003489547
2017,fbp,pce,1032.956646
2017,fbp,fed_intelprop,5.60E-12
2017,rec,pce,199.2067647
2017,rec,fed_intelprop,5.59E-12
2017,con,fed_structures,12.88422213
2017,con,def_structures,3.773843122
2017,con,state_invest,290.6198916
2017,con,structures,458.4435043
2017,con,residential,571.2971003
2017,con,fed_intelprop,5.60E-12
2017,agr,changinv,6.42E-09
2017,agr,pce,144.2222374
2017,agr,fed_intelprop,5.61E-12
2017,eec,def_equipment,0.409015351
2017,eec,changinv,1.67324456
2017,eec,state_equipment,0.03517333
2017,eec,fed_equipment,0.013064387
2017,eec,residential,9.035520586
2017,eec,equipment,37.38319766
2017,eec,pce,89.81454183
2017,eec,fed_intelprop,5.63E-12
2017,fnd,nondefense,392.5044728
2017,fnd,fed_intelprop,5.60E-12
2017,pub,changinv,1.579020751
2017,pub,def_intelprop,1.365069467
2017,pub,state_intelprop,4.87768749
2017,pub,intelprop,129.2074906
2017,pub,pce,133.0626316
2017,pub,state_consume,5.61E-12
2017,pub,fed_intelprop,1.65937804
2017,hou,pce,2127.872355
2017,hou,fed_intelprop,5.60E-12
2017,ins,residential,10.0239506
2017,ins,pce,378.8923598
2017,ins,fed_intelprop,5.61E-12
2017,tex,changinv,0.746411132
2017,tex,def_intelprop,5.65E-12
2017,tex,fed_equipment,0.001009233
2017,tex,residential,1.878131776
2017,tex,equipment,4.42198157
2017,tex,pce,76.02399011
2017,leg,fed_equipment,5.66E-12
2017,leg,residential,25.36763497
2017,leg,pce,105.9222974
2017,fen,pce,6.199590833
2017,fen,fed_intelprop,5.73E-12
2017,uti,pce,265.8860954
2017,uti,fed_intelprop,5.62E-12
2017,nmp,changinv,0.698564628
2017,nmp,pce,24.60980738
2017,nmp,fed_intelprop,5.64E-12
2017,brd,equipment,6.484820608
2017,brd,intelprop,29.56233216
2017,brd,pce,327.7265715
2017,brd,fed_intelprop,5.61E-12
2017,bnk,pce,255.6997268
2017,bnk,fed_intelprop,5.61E-12
2017,ore,structures,21.17563684
2017,ore,residential,123.3202902
2017,ore,pce,5.761473823
2017,ore,fed_intelprop,5.60E-12
2017,edu,pce,354.5212952
2017,edu,fed_intelprop,5.60E-12
2017,ote,def_equipment,32.30066824
2017,ote,changinv,1.173878925
2017,ote,state_equipment,0.038996001
2017,ote,fed_equipment,0.12398724
2017,ote,equipment,71.50462441
2017,ote,pce,35.99728694
2017,ote,fed_intelprop,5.60E-12
2017,man,fed_intelprop,5.63E-12
2017,mch,def_equipment,0.866083077
2017,mch,changinv,3.547725423
2017,mch,state_equipment,0.181857375
2017,mch,fed_equipment,0.008037915
