yr,i,j,Value
1997,ppd,ppd,39.76875585
1997,ppd,res,1.717391741
1997,ppd,com,0.118876271
1997,ppd,amb,1.186816513
1997,ppd,fbp,20.01780623
1997,ppd,rec,0.123031731
1997,ppd,con,3.047257284
1997,ppd,agr,0.191309208
1997,ppd,eec,1.266294545
1997,ppd,fnd,1.398147503
1997,ppd,pub,6.133884728
1997,ppd,fbt,0.996591775
1997,ppd,ins,0.11279325
1997,ppd,tex,0.934484947
1997,ppd,leg,0.59468164
1997,ppd,fen,0.025013384
1997,ppd,nmp,2.029185403
1997,ppd,brd,0.304983548
1997,ppd,bnk,1.135228504
1997,ppd,ore,0.185760119
1997,ppd,edu,0.077042869
1997,ppd,ote,0.478715954
1997,ppd,man,0.168878881
1997,ppd,mch,2.647369595
1997,ppd,dat,0.11410029
1997,ppd,amd,1.337685527
1997,ppd,oil,0.016888437
1997,ppd,hos,1.785598513
1997,ppd,rnt,0.196535607
1997,ppd,pla,3.972648405
1997,ppd,fof,0.000991922
1997,ppd,fin,0.009019162
1997,ppd,tsv,1.122240917
1997,ppd,nrs,1.374869419
1997,ppd,sec,0.238637747
1997,ppd,art,0.029986834
1997,ppd,mov,0.135677536
1997,ppd,fpd,0.981078221
1997,ppd,slg,8.889317985
1997,ppd,pri,21.44812216
1997,ppd,grd,0.251035611
1997,ppd,pip,0.096856463
1997,ppd,sle,0.021913783
1997,ppd,osv,0.667897152
1997,ppd,trn,0.036943024
1997,ppd,smn,0.01511424
1997,ppd,fmt,1.609982778
1997,ppd,pet,0.103994497
1997,ppd,mvt,0.136389096
1997,ppd,cep,2.437178689
1997,ppd,wst,0.141580889
1997,ppd,mot,1.654675563
1997,ppd,adm,2.285910639
1997,ppd,soc,0.337425487
1997,ppd,alt,0.276240768
1997,ppd,pmt,1.16910913
1997,ppd,trk,0.089633403
1997,ppd,fdd,0.082598699
1997,ppd,gmt,0.216822761
1997,ppd,wtt,0.009307212
1997,ppd,wpd,0.390513879
1997,ppd,wht,2.747409754
1997,ppd,wrh,0.071557758
1997,ppd,ott,1.200635731
1997,ppd,che,5.776556333
1997,ppd,air,0.031281501
1997,ppd,mmf,2.479691935
1997,ppd,otr,1.094977697
1997,ppd,min,0.135652233
1997,res,ppd,0.184008447
1997,res,res,1.157953419
1997,res,com,1.625590501
1997,res,amb,4.431397414
