yr,m,i,Value
2017,trn,ppd,12.27905431
2017,trn,res,5.61E-12
2017,trn,com,5.62E-12
2017,trn,amb,5.62E-12
2017,trn,fbp,26.59717232
2017,trn,rec,5.65E-12
2017,trn,con,5.62E-12
2017,trn,agr,59.04980936
2017,trn,eec,7.98840442
2017,trn,fnd,5.62E-12
2017,trn,pub,4.420374607
2017,trn,hou,5.62E-12
2017,trn,ins,5.62E-12
2017,trn,tex,4.355544634
2017,trn,leg,5.58E-12
2017,trn,fen,5.53E-12
2017,trn,uti,5.61E-12
2017,trn,nmp,26.10112638
2017,trn,brd,5.61E-12
2017,trn,bnk,5.61E-12
2017,trn,ore,5.62E-12
2017,trn,edu,5.62E-12
2017,trn,ote,4.360716328
2017,trn,man,5.60E-12
2017,trn,mch,16.27051037
2017,trn,dat,5.58E-12
2017,trn,amd,5.61E-12
2017,trn,oil,53.24722001
2017,trn,hos,5.61E-12
2017,trn,rnt,5.58E-12
2017,trn,pla,6.248925915
2017,trn,fof,4.545277287
2017,trn,fin,5.63E-12
2017,trn,tsv,5.61E-12
2017,trn,nrs,5.64E-12
2017,trn,sec,5.61E-12
2017,trn,art,5.60E-12
2017,trn,mov,0.147159137
2017,trn,fpd,14.76505667
2017,trn,slg,5.62E-12
2017,trn,pri,3.363472556
2017,trn,grd,5.61E-12
2017,trn,pip,5.69E-12
2017,trn,sle,5.59E-12
2017,trn,osv,5.61E-12
2017,trn,trn,5.61E-12
2017,trn,smn,5.65E-12
2017,trn,fmt,12.79308064
2017,trn,pet,29.51295567
2017,trn,cep,10.60490781
2017,trn,wst,5.59E-12
2017,trn,mot,16.85712095
2017,trn,adm,5.62E-12
2017,trn,soc,5.65E-12
2017,trn,alt,7.694808796
2017,trn,pmt,13.32792682
2017,trn,trk,5.57E-12
2017,trn,fdd,5.62E-12
2017,trn,wtt,5.63E-12
2017,trn,wpd,8.425234627
2017,trn,wht,5.59E-12
2017,trn,wrh,5.57E-12
2017,trn,ott,5.60E-12
2017,trn,che,35.91743968
2017,trn,air,5.58E-12
2017,trn,mmf,15.23415712
2017,trn,otr,5.60E-12
2017,trn,min,31.7410307
2017,trd,ppd,45.32435563
2017,trd,res,5.59E-12
2017,trd,com,5.59E-12
2017,trd,amb,5.59E-12
2017,trd,fbp,456.2924259
2017,trd,rec,5.62E-12
2017,trd,con,5.59E-12
2017,trd,agr,90.28703798
2017,trd,eec,105.5189064
2017,trd,fnd,5.59E-12
2017,trd,pub,93.35636843
2017,trd,hou,5.59E-12
2017,trd,ins,5.59E-12
2017,trd,tex,69.16460403
2017,trd,leg,5.55E-12
2017,trd,fen,5.51E-12
2017,trd,uti,5.58E-12
2017,trd,nmp,45.60091115
2017,trd,brd,5.58E-12
