yr,i,m,Value
1997,ppd,trn,3.712E-12
1997,ppd,trd,3.73008E-12
1997,res,trn,3.71176E-12
1997,res,trd,3.72985E-12
1997,com,trn,3.69942E-12
1997,com,trd,3.71742E-12
1997,amb,trn,3.71128E-12
1997,amb,trd,3.72937E-12
1997,fbp,trn,3.716E-12
1997,fbp,trd,3.73413E-12
1997,rec,trn,3.69586E-12
1997,rec,trd,3.71386E-12
1997,con,trn,3.71564E-12
1997,con,trd,3.73376E-12
1997,agr,trn,3.71749E-12
1997,agr,trd,3.73562E-12
1997,eec,trn,3.71022E-12
1997,eec,trd,3.72829E-12
1997,fnd,trn,3.70748E-12
1997,fnd,trd,3.72553E-12
1997,pub,trn,3.70892E-12
1997,pub,trd,3.72699E-12
1997,hou,trn,3.71415E-12
1997,hou,trd,3.73224E-12
1997,fbt,trn,3.70215E-12
1997,fbt,trd,107.9974959
1997,ins,trn,3.71868E-12
1997,ins,trd,3.7368E-12
1997,tex,trn,3.70785E-12
1997,tex,trd,3.72591E-12
1997,leg,trn,3.72187E-12
1997,leg,trd,3.74E-12
1997,fen,trn,3.73156E-12
1997,fen,trd,3.74974E-12
1997,uti,trn,3.72058E-12
1997,uti,trd,3.73872E-12
1997,nmp,trn,3.71202E-12
1997,nmp,trd,3.73011E-12
1997,brd,trn,3.71781E-12
1997,brd,trd,3.73592E-12
1997,bnk,trn,3.71431E-12
1997,bnk,trd,3.7324E-12
1997,ore,trn,3.71903E-12
1997,ore,trd,3.73716E-12
1997,edu,trn,3.71038E-12
1997,edu,trd,3.72847E-12
1997,ote,trn,3.70795E-12
1997,ote,trd,3.72601E-12
1997,man,trn,3.71747E-12
1997,man,trd,3.73557E-12
1997,mch,trn,3.71496E-12
1997,mch,trd,3.73307E-12
1997,dat,trn,3.72466E-12
1997,dat,trd,3.74282E-12
1997,amd,trn,3.70339E-12
1997,amd,trd,3.72142E-12
1997,oil,trn,3.69552E-12
1997,oil,trd,3.71349E-12
1997,hos,trn,3.71509E-12
1997,hos,trd,3.73321E-12
1997,rnt,trn,3.71871E-12
1997,rnt,trd,3.73684E-12
1997,pla,trn,3.71152E-12
1997,pla,trd,3.72959E-12
1997,fof,trn,3.69068E-12
1997,fof,trd,3.70864E-12
1997,fin,trn,3.69744E-12
1997,fin,trd,3.71544E-12
1997,tsv,trn,3.71292E-12
1997,tsv,trd,3.73108E-12
1997,nrs,trn,3.69527E-12
1997,nrs,trd,3.71324E-12
1997,sec,trn,3.71665E-12
1997,sec,trd,3.73476E-12
1997,art,trn,3.71269E-12
1997,art,trd,3.73077E-12
1997,mov,trn,3.69408E-12
1997,mov,trd,3.71205E-12
1997,fpd,trn,3.69482E-12
1997,fpd,trd,3.7128E-12
1997,slg,trn,3.71136E-12
1997,slg,trd,3.72944E-12
1997,pri,trn,3.70986E-12
1997,pri,trd,3.72792E-12
1997,grd,trn,3.69925E-12
1997,grd,trd,3.71725E-12
1997,pip,trn,22.34611291
1997,pip,trd,3.70761E-12
1997,sle,trn,3.70978E-12
1997,sle,trd,3.72784E-12
1997,osv,trn,3.71375E-12
1997,osv,trd,3.73184E-12
1997,trn,trn,31.95529536
1997,trn,trd,3.72694E-12
1997,smn,trn,3.67298E-12
1997,smn,trd,3.69082E-12
1997,fmt,trn,3.71165E-12
1997,fmt,trd,3.72973E-12
1997,pet,trn,3.70919E-12
1997,pet,trd,3.72725E-12
1997,mvt,trn,3.7025E-12
1997,mvt,trd,95.62122759
1997,cep,trn,3.71292E-12
1997,cep,trd,3.73101E-12
1997,wst,trn,3.7121E-12
1997,wst,trd,3.73019E-12
1997,mot,trn,3.71314E-12
1997,mot,trd,3.73123E-12
1997,adm,trn,3.71096E-12
1997,adm,trd,3.72903E-12
1997,soc,trn,3.69064E-12
1997,soc,trd,3.70859E-12
1997,alt,trn,3.70196E-12
1997,alt,trd,3.71998E-12
1997,pmt,trn,3.69969E-12
1997,pmt,trd,3.71769E-12
1997,trk,trn,123.311202
1997,trk,trd,3.73543E-12
1997,fdd,trn,3.70962E-12
1997,fdd,trd,3.72769E-12
1997,gmt,trn,3.70177E-12
1997,gmt,trd,89.16450893
1997,wtt,trn,9.354331817
1997,wtt,trd,3.71369E-12
1997,wpd,trn,3.70538E-12
1997,wpd,trd,3.72343E-12
1997,wht,trn,3.70639E-12
1997,wht,trd,541.1462586
1997,wrh,trn,3.71958E-12
1997,wrh,trd,3.7377E-12
1997,ott,trn,3.70525E-12
1997,ott,trd,368.8592922
1997,che,trn,3.7128E-12
1997,che,trd,3.73089E-12
1997,air,trn,6.171094896
1997,air,trd,3.73538E-12
1997,mmf,trn,3.69999E-12
1997,mmf,trd,3.718E-12
1997,otr,trn,0.588618446
1997,otr,trd,3.73145E-12
1997,min,trn,3.70142E-12
1997,min,trd,3.71943E-12
1998,ppd,trn,1.37529E-12
1998,ppd,trd,1.38416E-12
1998,res,trn,1.37486E-12
1998,res,trd,1.38373E-12
1998,com,trn,1.37151E-12
1998,com,trd,1.38035E-12
1998,amb,trn,1.37521E-12
1998,amb,trd,1.38408E-12
1998,fbp,trn,1.37694E-12
1998,fbp,trd,1.38583E-12
1998,rec,trn,1.36649E-12
1998,rec,trd,1.37531E-12
1998,con,trn,1.37688E-12
1998,con,trd,1.38577E-12
1998,agr,trn,1.37686E-12
1998,agr,trd,1.38575E-12
1998,eec,trn,1.37398E-12
1998,eec,trd,1.38284E-12
1998,fnd,trn,1.37417E-12
1998,fnd,trd,1.38304E-12
1998,pub,trn,1.37427E-12
1998,pub,trd,1.38314E-12
1998,hou,trn,1.37616E-12
1998,hou,trd,1.38504E-12
1998,fbt,trn,1.37168E-12
1998,fbt,trd,110.9601466
1998,ins,trn,1.37858E-12
1998,ins,trd,1.38747E-12
1998,tex,trn,1.37332E-12
1998,tex,trd,1.38218E-12
1998,leg,trn,1.38075E-12
1998,leg,trd,1.38966E-12
1998,fen,trn,1.38646E-12
1998,fen,trd,1.39541E-12
1998,uti,trn,1.37904E-12
1998,uti,trd,1.38795E-12
1998,nmp,trn,1.37449E-12
1998,nmp,trd,1.38336E-12
1998,brd,trn,1.37839E-12
1998,brd,trd,1.38729E-12
1998,bnk,trn,1.37672E-12
1998,bnk,trd,1.3856E-12
1998,ore,trn,1.37948E-12
1998,ore,trd,1.38838E-12
1998,edu,trn,1.37419E-12
1998,edu,trd,1.38306E-12
1998,ote,trn,1.37375E-12
1998,ote,trd,1.38261E-12
1998,man,trn,1.3794E-12
1998,man,trd,1.38829E-12
1998,mch,trn,1.37649E-12
1998,mch,trd,1.38538E-12
1998,dat,trn,1.3827E-12
1998,dat,trd,1.39162E-12
1998,amd,trn,1.37211E-12
1998,amd,trd,1.38095E-12
1998,oil,trn,1.36921E-12
1998,oil,trd,1.37804E-12
1998,hos,trn,1.37668E-12
1998,hos,trd,1.38557E-12
1998,rnt,trn,1.37838E-12
1998,rnt,trd,1.38728E-12
1998,pla,trn,1.37572E-12
1998,pla,trd,1.3846E-12
1998,fof,trn,1.36411E-12
1998,fof,trd,1.37291E-12
1998,fin,trn,1.37029E-12
1998,fin,trd,1.37913E-12
1998,tsv,trn,1.37582E-12
1998,tsv,trd,1.38472E-12
1998,nrs,trn,1.36817E-12
1998,nrs,trd,1.37698E-12
1998,sec,trn,1.37754E-12
1998,sec,trd,1.38643E-12
1998,art,trn,1.37653E-12
1998,art,trd,1.38541E-12
1998,mov,trn,1.36738E-12
1998,mov,trd,1.37619E-12
1998,fpd,trn,1.3671E-12
1998,fpd,trd,1.37591E-12
1998,slg,trn,1.37558E-12
1998,slg,trd,1.38446E-12
1998,pri,trn,1.37478E-12
1998,pri,trd,1.38365E-12
1998,grd,trn,1.36855E-12
1998,grd,trd,1.37738E-12
1998,pip,trn,22.20272446
1998,pip,trd,1.37778E-12
1998,sle,trn,1.37469E-12
1998,sle,trd,1.38356E-12
1998,osv,trn,1.37639E-12
1998,osv,trd,1.38528E-12
1998,trn,trn,31.46423933
1998,trn,trd,1.38403E-12
1998,smn,trn,1.35758E-12
1998,smn,trd,1.36632E-12
1998,fmt,trn,1.37569E-12
1998,fmt,trd,1.38456E-12
1998,pet,trn,1.37589E-12
1998,pet,trd,1.38477E-12
1998,mvt,trn,1.3721E-12
1998,mvt,trd,91.12562036
1998,cep,trn,1.37587E-12
1998,cep,trd,1.38474E-12
1998,wst,trn,1.37491E-12
1998,wst,trd,1.38378E-12
1998,mot,trn,1.37656E-12
1998,mot,trd,1.38544E-12
1998,adm,trn,1.37622E-12
1998,adm,trd,1.3851E-12
1998,soc,trn,1.36534E-12
1998,soc,trd,1.37414E-12
1998,alt,trn,1.37032E-12
1998,alt,trd,1.37915E-12
1998,pmt,trn,1.36896E-12
1998,pmt,trd,1.37778E-12
1998,trk,trn,131.2524241
1998,trk,trd,1.38799E-12
1998,fdd,trn,1.3746E-12
1998,fdd,trd,1.38347E-12
1998,gmt,trn,1.3716E-12
1998,gmt,trd,94.2882963
1998,wtt,trn,9.260667792
1998,wtt,trd,1.37937E-12
1998,wpd,trn,1.37202E-12
1998,wpd,trd,1.38087E-12
1998,wht,trn,1.3734E-12
1998,wht,trd,565.0389618
1998,wrh,trn,1.38248E-12
1998,wrh,trd,1.3914E-12
1998,ott,trn,1.37325E-12
1998,ott,trd,387.7702722
1998,che,trn,1.37568E-12
1998,che,trd,1.38456E-12
1998,air,trn,2.33624149
1998,air,trd,1.38781E-12
1998,mmf,trn,1.36999E-12
1998,mmf,trd,1.37883E-12
1998,otr,trn,0.686075437
1998,otr,trd,1.38555E-12
1998,min,trn,1.37086E-12
1998,min,trd,1.37971E-12
1999,ppd,trn,3.93649E-12
1999,ppd,trd,3.96794E-12
1999,res,trn,3.92962E-12
1999,res,trd,3.96102E-12
1999,com,trn,3.9223E-12
1999,com,trd,3.95359E-12
1999,amb,trn,3.932E-12
