yr,i,Value
1997,ppd,147.1922149
1997,res,289.2220714
1997,com,122.6781138
1997,amb,387.6774712
1997,fbp,517.662455
1997,rec,65.00470614
1997,con,707.4663612
1997,agr,224.6758136
1997,eec,110.6034507
1997,fnd,160.5618846
1997,pub,189.7398166
1997,hou,868.7323963
1997,fbt,116.6559081
1997,ins,340.4252608
1997,tex,88.64792976
1997,leg,152.6364688
1997,fen,77.60536429
1997,uti,244.9744849
1997,nmp,85.32537147
1997,brd,381.0145611
1997,bnk,393.0998001
1997,ore,398.6093136
1997,edu,112.4672983
1997,ote,155.315854
1997,man,194.5460447
1997,mch,268.2496611
1997,dat,45.81223812
1997,amd,108.156964
1997,oil,93.91917105
1997,hos,270.2233905
1997,rnt,145.3584957
1997,pla,158.1506975
1997,fof,38.08396107
1997,fin,56.01392883
1997,tsv,518.1905235
1997,nrs,94.47061699
1997,sec,204.0731638
1997,art,57.28195177
1997,mov,88.37854213
1997,fpd,63.17960736
1997,slg,992.0738971
1997,pri,98.12367089
1997,grd,24.15413946
1997,pip,22.97323698
1997,sle,143.0824296
1997,osv,345.8057518
1997,trn,37.96388336
1997,smn,21.95329291
1997,fmt,242.1895279
1997,pet,175.0612118
1997,mvt,151.9077984
1997,cep,459.6334945
1997,wst,40.14442926
1997,mot,428.9363903
1997,adm,306.4039712
1997,soc,61.3451415
1997,alt,86.71069727
1997,pmt,161.5240308
1997,trk,157.3481499
1997,fdd,302.8794741
1997,gmt,93.10652103
1997,wtt,23.83015721
1997,wpd,88.44486096
1997,wht,623.328998
1997,wrh,26.22526587
1997,ott,383.1297391
1997,che,415.3810008
1997,air,104.8360525
1997,mmf,110.0003921
1997,otr,84.9393568
1997,min,54.34445319
1998,ppd,151.2119376
1998,res,306.5258298
1998,com,152.1423285
1998,amb,407.4826003
1998,fbp,526.2525656
1998,rec,65.79864569
1998,con,777.9999864
1998,agr,217.2134565
1998,eec,114.2417115
1998,fnd,163.8793571
1998,pub,213.0001825
1998,hou,922.0937448
1998,fbt,120.4963688
1998,ins,363.867065
1998,tex,87.21774278
1998,leg,166.1361763
1998,fen,78.86898834
1998,uti,250.7580838
1998,nmp,91.02669096
1998,brd,422.2171714
1998,bnk,429.2830984
1998,ore,416.786161
1998,edu,121.1440495
1998,ote,183.690151
1998,man,221.0026759
1998,mch,276.4347919
1998,dat,50.13658596
1998,amd,114.8540966
1998,oil,69.13355432
1998,hos,288.651666
1998,rnt,165.4405786
1998,pla,162.748688
1998,fof,41.56303308
1998,fin,65.24361558
1998,tsv,563.5811712
1998,nrs,101.2506382
1998,sec,241.5813607
1998,art,62.17145531
1998,mov,95.5026209
1998,fpd,67.98320965
1998,slg,1051.363206
1998,pri,100.8332564
1998,grd,26.36045619
1998,pip,22.89805892
1998,sle,145.8479175
1998,osv,377.0600226
1998,trn,37.39687565
1998,smn,23.11292943
1998,fmt,253.037645
1998,pet,135.9090278
1998,mvt,151.9450421
1998,cep,463.1348786
1998,wst,44.70206198
1998,mot,445.6645243
1998,adm,349.864871
1998,soc,66.06456651
1998,alt,78.60162582
1998,pmt,160.0391554
1998,trk,167.7817822
1998,fdd,298.917273
1998,gmt,98.49518227
1998,wtt,23.71000888
1998,wpd,91.4469827
1998,wht,644.1662751
1998,wrh,28.49135502
1998,ott,403.0545652
1998,che,420.0217919
1998,air,104.6328077
1998,mmf,115.5604889
1998,otr,95.13042218
1998,min,53.64784473
1999,ppd,153.4979748
1999,res,321.9952551
1999,com,183.4683809
1999,amb,425.3126152
1999,fbp,523.8605485
1999,rec,69.90734191
1999,con,840.0149962
1999,agr,217.4799897
1999,eec,116.3435608
1999,fnd,169.4601273
1999,pub,237.0121749
1999,hou,978.0642083
1999,fbt,127.3594879
1999,ins,380.0586214
1999,tex,86.10315361
1999,leg,176.4573573
1999,fen,82.18987092
1999,uti,296.7643058
1999,nmp,94.99883333
1999,brd,478.4694963
1999,bnk,477.4446663
1999,ore,444.8768688
1999,edu,129.2799218
1999,ote,180.0053684
1999,man,239.3712456
1999,mch,274.3202487
1999,dat,69.01167449
1999,amd,124.1601122
1999,oil,81.9543849
1999,hos,302.0225177
1999,rnt,182.8374741
1999,pla,171.431708
1999,fof,44.92780435
1999,fin,74.46869594
1999,tsv,607.4838597
1999,nrs,105.0687644
1999,sec,290.7981488
1999,art,66.40605571
1999,mov,103.1541503
1999,fpd,70.33576
1999,slg,1128.928853
1999,pri,103.5505499
1999,grd,26.20766906
1999,pip,22.58340692
1999,sle,152.3572402
1999,osv,395.2291939
1999,trn,37.88014732
1999,smn,17.01517515
1999,fmt,255.7134896
1999,pet,159.6492438
1999,mvt,169.0807047
1999,cep,484.7329667
1999,wst,49.05949415
1999,mot,500.9082657
1999,adm,382.2667647
1999,soc,73.49733486
1999,alt,75.54053764
1999,pmt,150.2576746
1999,trk,178.176124
1999,fdd,311.3611703
1999,gmt,105.6612155
1999,wtt,24.77072687
1999,wpd,97.66284257
1999,wht,692.5227549
1999,wrh,30.92484358
1999,ott,425.1563197
1999,che,427.8110505
1999,air,110.0823729
1999,mmf,114.1691999
1999,otr,104.820907
1999,min,51.24917278
2000,ppd,161.6488172
2000,res,346.8759789
2000,com,213.6312807
2000,amb,452.0808756
2000,fbp,541.3121666
2000,rec,71.83540571
2000,con,912.426202
2000,agr,223.323488
2000,eec,124.5147621
2000,fnd,183.4734452
2000,pub,257.3757407
2000,hou,1037.924252
2000,fbt,128.5784867
2000,ins,409.9063508
2000,tex,84.66765608
2000,leg,183.1847051
2000,fen,84.87424591
2000,uti,354.4893328
2000,nmp,97.03408667
2000,brd,533.2940764
2000,bnk,524.5561299
2000,ore,497.7387658
2000,edu,140.9234388
2000,ote,162.3506143
2000,man,259.1990008
2000,mch,293.0254071
2000,dat,78.56002813
2000,amd,139.8564586
2000,oil,137.8512844
2000,hos,318.9478682
2000,rnt,204.232063
2000,pla,178.0383428
2000,fof,38.84963568
2000,fin,89.90665749
2000,tsv,671.5731087
2000,nrs,111.7071922
2000,sec,358.0879282
2000,art,72.96892911
2000,mov,113.6678188
2000,fpd,75.41419322
2000,slg,1214.331265
2000,pri,106.8156703
2000,grd,25.89453144
2000,pip,22.23713325
2000,sle,157.30335
2000,osv,418.3358458
2000,trn,38.63110559
2000,smn,20.00860901
2000,fmt,267.7056896
2000,pet,231.9164544
2000,mvt,168.6145704
2000,cep,546.8237311
2000,wst,51.34042374
2000,mot,480.3365465
2000,adm,419.6238931
2000,soc,82.83297353
2000,alt,74.94340529
2000,pmt,149.4599503
2000,trk,191.0091218
2000,fdd,319.4731143
2000,gmt,108.8708184
2000,wtt,26.31123955
2000,wpd,94.6244737
2000,wht,743.1992546
2000,wrh,33.64414191
2000,ott,461.0999437
2000,che,452.1998711
2000,air,122.211983
2000,mmf,128.1340752
2000,otr,116.5963432
2000,min,52.82368818
2001,ppd,153.0192194
2001,res,361.4056197
2001,com,202.1503799
2001,amb,491.7878246
2001,fbp,560.736672
2001,rec,73.35105614
2001,con,955.1643161
2001,agr,231.3290573
2001,eec,110.1742877
2001,fnd,196.1464744
2001,pub,260.3362507
2001,hou,1113.284937
2001,fbt,139.1079113
2001,ins,428.8052047
2001,tex,76.34393716
2001,leg,195.6127519
2001,fen,85.57183053
2001,uti,433.1108273
2001,nmp,93.85024789
2001,brd,549.6062399
2001,bnk,555.0656301
