yr,i,Value
1997,ppd,0.003747129
1997,fbp,0.017403114
1997,agr,0.004706805
1997,eec,0.026736719
1997,pub,0.001108647
1997,tex,0.081978001
1997,nmp,0.040839137
1997,ote,0.008595139
1997,mch,0.016702578
1997,oil,0.002418341
1997,pla,0.023977319
1997,fof,0.000763359
1997,mov,0.001472754
1997,fpd,0.008905852
1997,pri,0.015625
1997,fmt,0.032039663
1997,pet,0.004173878
1997,cep,0.01082436
1997,mot,0.013752987
1997,alt,0.129914556
1997,pmt,0.010970877
1997,wpd,0.006455003
1997,che,0.015510466
1997,mmf,0.022709929
1998,ppd,0.003509378
1998,fbp,0.019153157
1998,agr,0.005231798
1998,eec,0.023001059
1998,pub,0.000729395
1998,tex,0.072963561
1998,nmp,0.037380242
1998,ote,0.005642118
1998,mch,0.013943818
1998,oil,0.002861478
1998,pla,0.022264849
1998,fof,0.000554262
1998,mov,0.00216763
1998,fpd,0.003839107
1998,pri,0.012765957
1998,fmt,0.027159332
1998,pet,0.005616317
1998,cep,0.0074957
1998,mot,0.013226996
1998,alt,0.127336792
1998,pmt,0.009950678
1998,wpd,0.005453752
1998,che,0.013796917
1998,mmf,0.018826897
1998,min,0.006382979
1999,ppd,0.003248208
1999,fbp,0.019255948
1999,agr,0.004986655
1999,eec,0.020210745
1999,pub,0.000728597
1999,tex,0.064808967
1999,nmp,0.033276275
1999,ote,0.005221379
1999,mch,0.010800045
1999,oil,0.001909094
1999,pla,0.020840928
1999,fof,0.00042346
1999,mov,0.001432665
1999,fpd,0.001191979
1999,pri,0.010614102
1999,fmt,0.022903744
1999,pet,0.005326965
1999,cep,0.004996263
1999,mot,0.013567184
1999,alt,0.121702558
1999,pmt,0.007635865
1999,wpd,0.004750305
1999,che,0.010968705
1999,mmf,0.015341637
1999,min,0.002928258
2000,ppd,0.003230456
2000,fbp,0.017579916
2000,agr,0.005622376
2000,eec,0.020231722
2000,pub,0.000691802
2000,tex,0.064825682
2000,nmp,0.03353992
2000,ote,0.005770099
2000,mch,0.01113646
2000,oil,0.001061853
2000,pla,0.021273022
2000,fof,0.000480723
2000,mov,0.001049318
2000,fpd,0.001233988
2000,pri,0.00911641
2000,fmt,0.023778021
2000,pet,0.003382802
2000,cep,0.003647178
2000,mot,0.012463505
2000,alt,0.124583146
2000,pmt,0.007012696
2000,wpd,0.005302696
2000,che,0.009501115
2000,mmf,0.015360857
2000,min,0.006779661
2001,ppd,0.003067815
2001,fbp,0.018960208
2001,agr,0.005429347
2001,eec,0.019643086
2001,pub,0.000347222
2001,tex,0.064735828
2001,nmp,0.034067332
2001,ote,0.004395981
2001,mch,0.011112391
2001,oil,0.00097106
2001,pla,0.023210387
2001,fof,0.000602954
2001,mov,0.000720461
2001,fpd,0.001387297
2001,pri,0.007843137
2001,fmt,0.023279196
2001,pet,0.004665166
2001,cep,0.003760054
2001,mot,0.013365812
2001,alt,0.119929636
2001,pmt,0.007408567
2001,wpd,0.005560585
2001,che,0.008593821
2001,mmf,0.013555865
2001,min,0.003452244
2002,ppd,0.002796513
2002,fbp,0.016610084
2002,agr,0.005328099
2002,eec,0.018935594
2002,pub,0.000339789
2002,tex,0.060144793
2002,nmp,0.03224517
2002,ote,0.005257694
2002,mch,0.009480751
2002,oil,0.000883228
2002,pla,0.022362715
2002,fof,0.000291093
2002,mov,0.001129305
2002,fpd,0.001001212
2002,pri,0.004654255
2002,osv,0.001640241
2002,fmt,0.021864497
2002,pet,0.004725193
2002,cep,0.003878502
2002,mot,0.012913107
2002,alt,0.110853629
2002,pmt,0.013497835
2002,wpd,0.00594472
2002,che,0.007246981
2002,mmf,0.012426256
2002,min,0.001998002
2003,ppd,0.002650177
2003,fbp,0.017227151
2003,agr,0.003656915
2003,eec,0.019342314
2003,pub,0.000311236
2003,tex,0.061029662
2003,nmp,0.032298448
2003,ote,0.005304388
2003,mch,0.009057531
2003,oil,0.000691625
2003,pla,0.023238416
2003,fof,0.000263458
2003,mov,0.000635189
2003,fpd,0.001109929
2003,pri,0.003075031
2003,fmt,0.022825792
2003,pet,0.003526884
2003,cep,0.004258576
2003,mot,0.014050842
2003,alt,0.113181542
2003,pmt,0.009079653
2003,wpd,0.006224911
2003,che,0.007000547
2003,mmf,0.012682111
2003,min,0.002542373
2004,ppd,0.002121184
2004,fbp,0.017541912
2004,agr,0.002434337
2004,eec,0.019788972
2004,tex,0.064077568
2004,nmp,0.031092026
2004,ote,0.005725878
2004,mch,0.008943325
2004,oil,0.000490028
2004,pla,0.023836864
2004,fof,0.000332254
2004,mov,0.000369208
2004,fpd,0.00119976
2004,pri,0.00106553
2004,fmt,0.023070781
2004,pet,0.002574315
2004,cep,0.004256597
2004,mot,0.013726423
2004,alt,0.111871542
2004,pmt,0.002834943
2004,wpd,0.006420209
2004,che,0.007873834
2004,mmf,0.01274526
2004,min,0.001413095
2005,ppd,0.002423508
2005,fbp,0.017129962
2005,agr,0.002116638
2005,eec,0.019309279
2005,tex,0.064797508
2005,nmp,0.029315333
2005,ote,0.005580954
2005,mch,0.008729616
2005,oil,0.000361301
2005,pla,0.024031906
2005,fof,0.000312159
2005,mov,0.000329218
2005,fpd,0.001292964
2005,pri,0.001438159
2005,fmt,0.02287998
2005,pet,0.002051004
2005,cep,0.004381308
2005,mot,0.014043038
2005,alt,0.11397559
2005,pmt,0.003257527
2005,wpd,0.006871463
2005,che,0.007703399
2005,mmf,0.012128368
2005,min,0.001171989
2006,ppd,0.002677811
2006,fbp,0.015165931
2006,agr,0.001595294
2006,eec,0.018974592
2006,tex,0.062250996
2006,nmp,0.028009979
2006,ote,0.005247253
2006,mch,0.008474949
2006,oil,0.000299744
2006,pla,0.023597897
2006,fof,0.000277951
2006,mov,0.00034904
2006,fpd,0.001338151
2006,pri,0.00135196
2006,fmt,0.021972667
2006,pet,0.001916359
2006,cep,0.004155177
2006,mot,0.013457552
2006,alt,0.114167333
2006,pmt,0.003186334
2006,wpd,0.008045154
2006,che,0.008177665
2006,mmf,0.011698108
2006,min,0.001404494
2007,ppd,0.003102421
2007,fbp,0.015764665
2007,agr,0.001568081
2007,eec,0.019096194
2007,tex,0.060701944
2007,nmp,0.029531109
2007,ote,0.004650289
2007,mch,0.009173691
2007,oil,0.000306448
2007,pla,0.025062138
2007,fof,0.000345495
2007,mov,0.0004
2007,fpd,0.001380126
2007,pri,0.001197605
2007,fmt,0.022680496
2007,pet,0.001836268
2007,cep,0.004185997
2007,mot,0.014000991
2007,alt,0.122552718
2007,pmt,0.003564155
2007,wpd,0.009670878
2007,che,0.006790749
2007,mmf,0.012306623
2007,min,0.001574803
2008,ppd,0.003324122
2008,fbp,0.013163983
2008,agr,0.00100004
2008,eec,0.019882865
2008,tex,0.062665682
2008,nmp,0.029616378
2008,ote,0.005236937
2008,mch,0.009729356
2008,oil,0.000244453
2008,pla,0.026098027
2008,fof,0.000326052
2008,mov,0.00042337
2008,fpd,0.00139582
2008,pri,0.001217039
2008,fmt,0.023967641
2008,pet,0.001367455
2008,cep,0.004543611
2008,mot,0.014894371
2008,alt,0.127297739
2008,pmt,0.003749202
2008,wpd,0.010418809
2008,che,0.007050024
2008,mmf,0.012879729
2008,min,0.000858922
2009,ppd,0.003164065
2009,fbp,0.012745325
2009,agr,0.00115227
2009,eec,0.01929946
2009,tex,0.061820263
2009,nmp,0.030402046
2009,ote,0.004755691
2009,mch,0.00933771
2009,oil,0.000366693
2009,pla,0.027655519
2009,fof,0.000393825
2009,mov,0.000238379
2009,fpd,0.00155604
2009,pri,0.000990589
2009,fmt,0.022749119
2009,pet,0.001885897
2009,cep,0.004123907
2009,mot,0.013525591
2009,alt,0.125999679
2009,pmt,0.004035849
2009,wpd,0.012309848
2009,che,0.005510286
2009,mmf,0.012667073
2009,min,0.002074689
2010,ppd,0.003410138
2010,fbp,0.012583425
2010,agr,0.000883189
2010,eec,0.02051969
2010,tex,0.062741396
2010,nmp,0.031519287
2010,ote,0.006088825
2010,mch,0.009289862
2010,oil,0.000267511
2010,pla,0.035578774
2010,fof,0.000319939
2010,mov,0.0004363
