yr,j,Value
1997,ppd,0.01063072
1997,res,0.009647958
1997,com,0.00643838
1997,amb,0.010584385
1997,fbp,0.006516024
1997,rec,0.020656528
1997,con,0.005098375
1997,agr,0.019646757
1997,eec,0.006250394
1997,pub,0.004392517
1997,hou,0.1285148
1997,fbt,0.004746715
1997,ins,0.013973856
1997,tex,0.007529528
1997,leg,0.003838797
1997,uti,0.060326777
1997,nmp,0.009303085
1997,brd,0.015505961
1997,bnk,0.017963706
1997,ore,0.025606574
1997,edu,0.025764738
1997,ote,0.006976684
1997,man,0.023710139
1997,mch,0.006885896
1997,dat,0.006297668
1997,amd,0.024339984
1997,oil,0.055650169
1997,hos,0.008256694
1997,rnt,0.019403919
1997,pla,0.005945101
1997,fof,0.013147556
1997,fin,0.027517544
1997,tsv,0.005474086
1997,nrs,0.007007293
1997,sec,0.014410217
1997,art,0.012385521
1997,mov,0.007009372
1997,fpd,0.003603405
1997,pri,0.005986012
1997,grd,0.025545481
1997,pip,0.038687036
1997,osv,0.014052915
1997,trn,0.012296027
1997,smn,0.029354473
1997,fmt,0.006857049
1997,pet,0.008724274
1997,mvt,0.003003866
1997,cep,0.00711028
1997,wst,0.028488665
1997,mot,0.003417826
1997,adm,0.004660833
1997,soc,0.007401007
1997,alt,0.003074876
1997,pmt,0.011392012
1997,trk,0.010891481
1997,gmt,0.004886891
1997,wtt,0.024540125
1997,wpd,0.005289156
1997,wht,0.010996463
1997,wrh,0.011897069
1997,ott,0.003893155
1997,che,0.008216885
1997,air,0.019631343
1997,mmf,0.006463102
1997,otr,0.019850825
1997,min,0.027529476
1998,ppd,0.010653126
1998,res,0.009865728
1998,com,0.0061247
1998,amb,0.010749522
1998,fbp,0.006657681
1998,rec,0.021462941
1998,con,0.005234231
1998,agr,0.019271723
1998,eec,0.006235665
1998,pub,0.004156825
1998,hou,0.123384193
1998,fbt,0.004638736
1998,ins,0.01048536
1998,tex,0.007904416
1998,leg,0.003858053
1998,uti,0.060359398
1998,nmp,0.009207379
1998,brd,0.014156325
1998,bnk,0.018116727
1998,ore,0.024959903
1998,edu,0.026566903
1998,ote,0.00647543
1998,man,0.022344677
1998,mch,0.007366775
1998,dat,0.006650737
1998,amd,0.024674816
1998,oil,0.079378503
1998,hos,0.008384466
1998,rnt,0.019128028
1998,pla,0.006190812
1998,fof,0.012260959
1998,fin,0.02610451
1998,tsv,0.005606435
1998,nrs,0.007090938
1998,sec,0.013452952
1998,art,0.012446131
1998,mov,0.00693638
1998,fpd,0.00366943
1998,pri,0.006202872
1998,grd,0.025229532
1998,pip,0.040662213
1998,osv,0.013871161
1998,trn,0.013910036
1998,smn,0.028708339
1998,fmt,0.006932641
1998,pet,0.011430414
1998,mvt,0.003077064
1998,cep,0.007713212
1998,wst,0.025915976
1998,mot,0.003585433
1998,adm,0.00462509
1998,soc,0.007629197
1998,alt,0.003594072
1998,pmt,0.011784563
1998,trk,0.010355328
1998,gmt,0.00468147
1998,wtt,0.025646212
1998,wpd,0.005344153
1998,wht,0.011316003
1998,wrh,0.011609203
1998,ott,0.003822336
1998,che,0.008589236
1998,air,0.02242165
1998,mmf,0.006495965
1998,otr,0.018463958
1998,min,0.028735632
1999,ppd,0.010431768
1999,res,0.009944288
1999,com,0.006227088
1999,amb,0.010854386
1999,fbp,0.006721894
1999,rec,0.022120039
1999,con,0.005301614
1999,agr,0.021709485
1999,eec,0.006333014
1999,pub,0.004119084
