yr,va,j,Value
1997,surplus,ppd,22.55774981
1997,surplus,res,32.64305104
1997,surplus,com,9.560310051
1997,surplus,amb,56.78677502
1997,surplus,fbp,56.6756268
1997,surplus,rec,17.09687089
1997,surplus,con,107.2428519
1997,surplus,agr,72.56092193
1997,surplus,eec,19.11884929
1997,surplus,fnd,50.037407
1997,surplus,pub,43.57744841
1997,surplus,hou,660.8447746
1997,surplus,fbt,21.0282144
1997,surplus,ins,89.03836135
1997,surplus,tex,6.354768871
1997,surplus,leg,40.00960342
1997,surplus,fen,10.86502468
1997,surplus,uti,97.69795504
1997,surplus,nmp,16.79971716
1997,surplus,brd,123.5010085
1997,surplus,bnk,115.8627733
1997,surplus,ore,116.7344483
1997,surplus,edu,14.6480584
1997,surplus,ote,14.86425252
1997,surplus,man,14.58735466
1997,surplus,mch,27.86602529
1997,surplus,dat,9.262101397
1997,surplus,amd,22.29744355
1997,surplus,oil,33.44186564
1997,surplus,hos,21.26643016
1997,surplus,rnt,79.61198708
1997,surplus,pla,21.64211394
1997,surplus,fof,10.16600397
1997,surplus,fin,4.788717034
1997,surplus,tsv,113.3144844
1997,surplus,nrs,3.252607288
1997,surplus,sec,27.03596904
1997,surplus,art,14.49606327
1997,surplus,mov,19.8744303
1997,surplus,fpd,7.976054429
1997,surplus,slg,75.70118354
1997,surplus,pri,4.733568442
1997,surplus,grd,5.863455022
1997,surplus,pip,2.535076333
1997,surplus,sle,32.93651863
1997,surplus,osv,78.71124466
1997,surplus,trn,4.97610306
1997,surplus,smn,3.86299588
1997,surplus,fmt,37.46112797
1997,surplus,pet,35.07592525
1997,surplus,mvt,31.16896228
1997,surplus,cep,81.88604975
1997,surplus,wst,7.452008989
1997,surplus,mot,46.93796788
1997,surplus,adm,43.19031849
1997,surplus,soc,6.869912291
1997,surplus,alt,6.754074394
1997,surplus,pmt,15.0753465
1997,surplus,trk,25.09131134
1997,surplus,fdd,102.775658
1997,surplus,gmt,10.8830986
1997,surplus,wtt,2.910660641
1997,surplus,wpd,7.020123805
1997,surplus,wht,137.136254
1997,surplus,wrh,3.320552782
1997,surplus,ott,70.22342781
1997,surplus,che,104.5336223
1997,surplus,air,17.40567133
1997,surplus,mmf,19.83702243
1997,surplus,otr,14.10435297
1997,surplus,min,9.563916859
1997,compen,ppd,32.40111293
1997,compen,res,98.04729806
1997,compen,com,64.328762
1997,compen,amb,189.4468467
1997,compen,fbp,62.21140418
1997,compen,rec,21.7973556
1997,compen,con,229.7341837
1997,compen,agr,17.05875778
1997,compen,eec,27.03265152
1997,compen,fnd,72.59051374
1997,compen,pub,52.06997673
1997,compen,hou,8.827103075
1997,compen,fbt,57.17530861
1997,compen,ins,112.747453
1997,compen,tex,20.14047744
1997,compen,leg,60.57034449
1997,compen,fen,47.52607081
1997,compen,uti,42.14937746
1997,compen,nmp,22.06292917
1997,compen,brd,79.05610595
1997,compen,bnk,110.292998
1997,compen,ore,33.54448541
1997,compen,edu,59.48419517
1997,compen,ote,46.61624228
1997,compen,man,106.2506357
1997,compen,mch,72.26589226
1997,compen,dat,20.48353212
1997,compen,amd,37.67284825
1997,compen,oil,12.2623166
1997,compen,hos,140.4965314
1997,compen,rnt,19.17662465
1997,compen,pla,34.52256919
1997,compen,fof,9.430116325
1997,compen,fin,0.851103911
1997,compen,tsv,202.747227
1997,compen,nrs,53.26794555
1997,compen,sec,94.25012076
1997,compen,art,20.08034903
1997,compen,mov,18.80579408
1997,compen,fpd,19.54864581
1997,compen,slg,612.4224251
1997,compen,pri,32.01626277
1997,compen,grd,8.521661306
1997,compen,pip,3.589225959
1997,compen,sle,45.44833577
1997,compen,osv,141.2661234
1997,compen,trn,14.90878739
1997,compen,smn,9.092555633
1997,compen,fmt,70.98884754
1997,compen,pet,10.52595943
1997,compen,mvt,64.5506004
1997,compen,cep,109.4527074
1997,compen,wst,12.10540469
1997,compen,mot,63.18457479
1997,compen,adm,146.799382
1997,compen,soc,31.89837675
1997,compen,alt,17.88309329
1997,compen,pmt,35.86435217
1997,compen,trk,48.32310129
1997,compen,fdd,114.0500459
1997,compen,gmt,45.683486
1997,compen,wtt,3.25009931
1997,compen,wpd,19.08916443
1997,compen,wht,263.6852306
1997,compen,wrh,17.27924671
1997,compen,ott,168.0226235
1997,compen,che,64.22448218
1997,compen,air,32.22506646
1997,compen,mmf,31.33968845
1997,compen,otr,40.21704976
1997,compen,min,13.75490257
1998,surplus,ppd,22.7317485
1998,surplus,res,34.02281035
1998,surplus,com,8.474198062
1998,surplus,amb,56.47255583
1998,surplus,fbp,57.52082753
1998,surplus,rec,13.48962896
1998,surplus,con,122.5405003
1998,surplus,agr,66.83708893
1998,surplus,eec,11.69908356
1998,surplus,fnd,51.68009581
1998,surplus,pub,45.44034461
1998,surplus,hou,700.5333901
1998,surplus,fbt,24.05034406
1998,surplus,ins,101.3432556
1998,surplus,tex,6.576847104
1998,surplus,leg,43.54944526
1998,surplus,fen,12.0741435
1998,surplus,uti,88.33168311
1998,surplus,nmp,16.5202643
1998,surplus,brd,129.9129021
1998,surplus,bnk,135.515991
1998,surplus,ore,100.7576044
1998,surplus,edu,12.00958103
1998,surplus,ote,15.64630303
1998,surplus,man,15.23941328
1998,surplus,mch,36.59324987
1998,surplus,dat,11.15981025
1998,surplus,amd,22.22833438
1998,surplus,oil,18.15040978
1998,surplus,hos,21.31329448
1998,surplus,rnt,84.15530853
