yr,i,Value
1997,ppd,146.6120859
1997,res,345.1297143
1997,com,138.6015634
1997,amb,400.2321148
1997,fbp,522.9771848
1997,rec,74.20722048
1997,con,760.8194163
1997,agr,220.7737609
1997,eec,103.256878
1997,fnd,146.2805445
1997,pub,128.2575754
1997,hou,862.292278
1997,ins,341.9851284
1997,tex,83.99161348
1997,leg,152.5542786
1997,fen,60.77663305
1997,uti,305.0878444
1997,nmp,83.46932725
1997,brd,328.1999784
1997,bnk,324.2453874
1997,ore,404.9875356
1997,edu,133.9540018
1997,ote,140.3800324
1997,man,188.8390982
1997,mch,259.8162712
1997,dat,47.83256161
1997,amd,82.41214438
1997,oil,81.41428234
1997,hos,340.8498851
1997,rnt,216.7801278
1997,pla,154.9665939
1997,fof,45.09725412
1997,fin,67.54300131
1997,tsv,799.823155
1997,nrs,93.84425025
1997,sec,221.2945568
1997,art,52.04475866
1997,mov,88.16627941
1997,fpd,62.88450564
1997,slg,781.3045154
1997,pri,75.3199669
1997,grd,31.54650404
1997,pip,0.731185959
1997,sle,43.07632092
1997,osv,453.3308748
1997,trn,5.18285159
1997,smn,26.196978
1997,fmt,230.3530795
1997,pet,174.6337787
1997,cep,424.4342518
1997,wst,47.02913458
1997,mot,417.691496
1997,adm,307.425335
1997,soc,62.32648793
1997,alt,84.40384656
1997,pmt,164.7646528
1997,trk,31.03604619
1997,fdd,291.278198
1997,wtt,14.13275218
1997,wpd,88.71532587
1997,wht,67.49830415
1997,wrh,27.36914814
1997,ott,0.645008002
1997,che,405.5167534
1997,air,97.61211926
1997,mmf,106.3462758
1997,otr,90.08427732
1997,min,50.68301445
1998,ppd,149.8662682
1998,res,366.5135681
1998,com,167.8550507
1998,amb,420.6483604
1998,fbp,529.6585798
1998,rec,77.77380907
1998,con,833.5128294
1998,agr,213.1098266
1998,eec,108.0087345
1998,fnd,148.0526522
1998,pub,144.5808834
1998,hou,915.1816179
1998,ins,364.1849074
1998,tex,84.00735443
1998,leg,166.0499794
1998,fen,62.98367671
1998,uti,313.029379
1998,nmp,88.63149555
1998,brd,363.7042698
1998,bnk,356.1844271
1998,ore,424.0563897
1998,edu,144.0875346
1998,ote,167.606286
1998,man,214.3550665
1998,mch,266.9607207
1998,dat,51.88349712
1998,amd,86.73226432
1998,oil,58.3139273
1998,hos,362.5251326
1998,rnt,238.4174982
1998,pla,159.9447749
1998,fof,48.7759439
1998,fin,77.04753166
1998,tsv,866.1532108
1998,nrs,100.4605983
1998,sec,262.8391473
1998,art,56.52376336
1998,mov,95.22537198
1998,fpd,67.54646489
1998,slg,830.1268978
1998,pri,77.20273095
1998,grd,33.92229991
1998,pip,0.706145528
1998,sle,44.43264458
1998,osv,488.4125872
1998,trn,5.062219186
1998,smn,26.03348517
1998,fmt,237.9835125
1998,pet,133.725939
1998,cep,428.6131848
1998,wst,51.91905229
1998,mot,434.5533302
1998,adm,350.1901086
1998,soc,67.05364524
1998,alt,76.35263447
1998,pmt,168.4839619
