yr,j,i,Value
1997,ppd,ppd,142.5166601
1997,ppd,com,0.308527943
1997,ppd,con,0.153900829
1997,ppd,tex,0.293513363
1997,ppd,nmp,0.004853264
1997,ppd,pla,1.022184746
1997,ppd,tsv,0.579587888
1997,ppd,fpd,0.045382995
1997,ppd,pri,0.587750299
1997,ppd,fmt,0.127887019
1997,ppd,cep,0.133060356
1997,ppd,pmt,0.072392964
1997,ppd,wpd,0.163810575
1997,ppd,wht,0.54801234
1997,ppd,che,0.399079843
1997,ppd,mmf,0.235610379
1997,res,res,286.8490169
1997,res,com,0.042064045
1997,res,rec,0.691832706
1997,res,con,0.643496525
1997,res,fbt,0.229519486
1997,res,brd,0.002025059
1997,res,amd,0.338217502
1997,res,tsv,0.001001143
1997,res,ott,0.42489801
1997,com,com,102.1382765
1997,com,con,0.006004216
1997,com,pub,0.78850944
1997,com,brd,0.106143379
1997,com,edu,0.386638657
1997,com,dat,6.842485531
1997,com,rnt,0.001997761
1997,com,tsv,2.370754304
1997,com,osv,2.69203895
1997,com,adm,1.62909688
1997,com,wht,5.292953086
1997,com,ott,0.423215132
1997,amb,res,0.075112176
1997,amb,com,0.243772906
1997,amb,amb,382.7953653
1997,amb,con,0.206821311
1997,amb,rnt,0.610312371
1997,amb,tsv,0.118325741
1997,amb,nrs,0.210126825
1997,amb,ott,3.417634615
1997,fbp,ppd,0.001019133
1997,fbp,com,0.542758841
1997,fbp,fbp,507.8304242
1997,fbp,con,0.115100296
1997,fbp,tex,0.003979596
1997,fbp,pla,0.002997635
1997,fbp,tsv,1.65885952
1997,fbp,alt,0.000991711
1997,fbp,wht,5.720844689
1997,fbp,che,1.785479316
1997,rec,res,9.664722074
1997,rec,com,0.016977307
1997,rec,rec,50.53623097
1997,rec,con,0.21588576
1997,rec,ore,0.001995418
1997,rec,edu,2.395804506
1997,rec,amd,0.302328421
1997,rec,rnt,0.091782803
1997,rec,tsv,0.098826224
1997,rec,art,0.12689548
1997,rec,osv,0.41295956
1997,rec,mvt,0.254469294
1997,rec,soc,0.027867963
1997,rec,ott,0.857960351
1997,con,com,0.614639939
1997,con,con,705.9241654
1997,con,tsv,0.927555886
1997,agr,rec,0.801717112
1997,agr,agr,218.6249146
1997,agr,fof,5.204301592
1997,agr,wpd,0.044880374
1997,eec,ppd,0.070840899
1997,eec,com,0.206362699
1997,eec,con,0.085218192
1997,eec,eec,98.34337422
1997,eec,nmp,0.221429501
1997,eec,ote,0.19878962
1997,eec,mch,1.454281566
1997,eec,pla,0.139889153
1997,eec,tsv,1.56409382
1997,eec,fpd,0.023709663
1997,eec,fmt,1.41094217
1997,eec,pet,0.050500412
1997,eec,cep,2.2305205
1997,eec,mot,0.982870076
1997,eec,pmt,1.898662961
1997,eec,wht,1.207510311
1997,eec,che,0.240800189
1997,eec,mmf,0.273654723
1997,fnd,com,2.341568064
1997,fnd,fbp,0.097275544
1997,fnd,con,0.159351652
1997,fnd,agr,1.660003568
1997,fnd,fnd,146.2805445
1997,fnd,pub,0.155168043
1997,fnd,fen,0.388337258
1997,fnd,uti,0.045705528
1997,fnd,hos,1.154358335
1997,fnd,fof,0.088702931
1997,fnd,fin,0.069714066
1997,fnd,tsv,8.055253573
1997,fnd,pri,0.006921498
1997,fnd,pmt,0.00106489
1997,fnd,che,0.005905978
1997,fnd,mmf,0.05200912
1997,pub,com,1.44419597
1997,pub,con,0.007026048
1997,pub,pub,125.9862102
1997,pub,edu,1.260623106
1997,pub,dat,3.732207134
1997,pub,rnt,0.018033992
1997,pub,tsv,54.52763618
1997,pub,pri,1.560607647
1997,pub,adm,0.559375351
1997,pub,wht,0.435530162
1997,pub,ott,0.208370893
1997,hou,com,0.034069348
1997,hou,con,23.45756584
1997,hou,hou,845.2347514
1997,hou,tsv,0.006009724
1997,fbt,res,4.042207908
1997,fbt,com,0.002028038
1997,fbt,fbp,5.420839446
1997,fbt,rec,0.055752893
1997,fbt,con,0.00202965
1997,fbt,fbt,105.6871656
1997,fbt,bnk,0.028418762
1997,fbt,rnt,1.030203587
1997,fbt,tsv,0.019258185
1997,fbt,osv,0.280898715
1997,fbt,adm,0.078044086
1997,fbt,wrh,0.009061266
1997,ins,com,0.41228654
1997,ins,con,0.010015023
1997,ins,ins,338.9369836
1997,ins,leg,0.090957901
1997,ins,ore,0.289921236
1997,ins,tsv,0.358098557
1997,ins,sec,0.326997946
1997,tex,ppd,0.111197617
1997,tex,com,0.096951313
1997,tex,con,0.052557222
1997,tex,tex,80.62197943
1997,tex,pla,0.33809141
1997,tex,tsv,0.216030709
1997,tex,fpd,0.376507365
1997,tex,pri,0.046163406
1997,tex,fmt,0.146977101
1997,tex,mot,0.643252354
1997,tex,alt,0.3961015
1997,tex,pmt,0.061538858
