yr,i,value,,
2008,ppd,226.8361357,,
2009,ppd,204.5401891,,
2005,ppd,205.8883352,,
2006,ppd,215.2834013,,
2012,ppd,227.7189185,,
2014,ppd,239.4040499,,
2013,ppd,236.7818338,,
1999,ppd,188.2780483,,
2002,ppd,191.3648757,,
2017,ppd,237.9282769,,
2016,ppd,234.1394053,,
2015,ppd,237.999005,,
1998,ppd,183.4580249,,
2004,ppd,195.548966,,
2000,ppd,195.6083445,,
1997,ppd,177.6416151,,
2007,ppd,223.9845701,,
2010,ppd,218.4729934,,
2003,ppd,188.6473512,,
2011,ppd,229.7247732,,
2001,ppd,190.8608304,,
2008,res,635.6019727,,
2009,res,630.4885628,,
2005,res,564.4118547,,
2006,res,597.1255791,,
2012,res,728.555903,,
2014,res,804.2305427,,
2013,res,757.7682536,,
1999,res,407.8944694,,
2002,res,479.2598353,,
2017,res,951.7247754,,
2016,res,906.9405783,,
2015,res,866.2312787,,
1998,res,386.1041091,,
2004,res,535.5541111,,
2000,res,440.1700568,,
1997,res,363.7195824,,
2007,res,621.3371935,,
2010,res,653.3162113,,
2003,res,503.5861145,,
2011,res,688.895844,,
2001,res,455.0586373,,
2008,com,328.2132147,,
2009,com,330.072357,,
2005,com,257.9317385,,
2006,com,269.8881703,,
2012,com,425.4917418,,
2014,com,457.5766146,,
2013,com,437.950416,,
1999,com,210.423018,,
2002,com,236.3875454,,
2017,com,522.8285713,,
2016,com,489.7961863,,
2015,com,461.7617659,,
1998,com,168.8577679,,
2004,com,241.9601678,,
2000,com,243.1682389,,
1997,com,139.2602253,,
2007,com,299.263913,,
2010,com,362.7736021,,
2003,com,234.421021,,
2011,com,396.8766981,,
2001,com,243.9424365,,
2008,amb,760.8299808,,
2009,amb,790.7642103,,
2005,amb,658.1628999,,
2006,amb,686.0719169,,
2012,amb,880.3463041,,
2014,amb,934.8772562,,
2013,amb,898.1522727,,
1999,amb,439.0294052,,
2002,amb,547.1709872,,
2017,amb,1076.076218,,
2016,amb,1033.801202,,
2015,amb,985.1948687,,
1998,amb,420.8043846,,
2004,amb,623.7436592,,
2000,amb,467.6446651,,
1997,amb,400.366135,,
2007,amb,721.2024449,,
2010,amb,822.6011232,,
2003,amb,583.7762124,,
2011,amb,855.3495087,,
2001,amb,509.1765321,,
2008,fbp,1194.346194,,
2009,fbp,1179.759053,,
2005,fbp,1017.998981,,
2006,fbp,1046.441723,,
2012,fbp,1371.430064,,
2014,fbp,1451.544682,,
2013,fbp,1405.046744,,
1999,fbp,796.7605166,,
2002,fbp,867.5584767,,
2017,fbp,1533.653055,,
2016,fbp,1478.255858,,
2015,fbp,1478.236848,,
1998,fbp,780.2777394,,
2004,fbp,969.0141021,,
2000,fbp,820.9652351,,
1997,fbp,768.5067727,,
2007,fbp,1122.845523,,
2010,fbp,1235.19788,,
2003,fbp,923.1368669,,
2011,fbp,1318.250564,,
2001,fbp,853.367662,,
2008,rec,161.1824227,,
2009,rec,155.117694,,
2005,rec,136.410327,,
2006,rec,148.4876342,,
2012,rec,168.2970161,,
2014,rec,180.6101981,,
2013,rec,174.7811595,,
1999,rec,90.31660701,,
2002,rec,107.6127682,,
2017,rec,203.8720435,,
2016,rec,193.9280984,,
2015,rec,187.1403639,,
1998,rec,80.98097645,,
2004,rec,128.789547,,
2000,rec,97.66006485,,
1997,rec,76.95241595,,
2007,rec,158.0433177,,
2010,rec,158.1924693,,
2003,rec,116.6449001,,
2011,rec,163.0607672,,
2001,rec,101.9137062,,
2008,con,1362.387711,,
2009,con,1182.554898,,
2005,con,1358.219773,,
2006,con,1440.961497,,
2012,con,1165.289725,,
2014,con,1346.231007,,
2013,con,1231.278266,,
1999,con,899.5380574,,
2002,con,1030.531102,,
2017,con,1639.96724,,
2016,con,1569.763526,,
2015,con,1468.026588,,
1998,con,834.113181,,
2004,con,1223.10538,,
2000,con,975.0316044,,
1997,con,761.3657342,,
2007,con,1436.108658,,
2010,con,1088.257765,,
2003,con,1097.55391,,
2011,con,1087.822676,,
2001,con,1019.796986,,
2008,agr,397.3569602,,
2009,agr,372.6675114,,
2005,agr,324.7832215,,
2006,agr,332.2814904,,
2012,agr,497.3426485,,
2014,agr,549.0711619,,
2013,agr,537.2088691,,
1999,agr,253.8170191,,
2002,agr,256.2150326,,
2017,agr,517.376561,,
2016,agr,498.3954774,,
2015,agr,524.8094529,,
1998,agr,255.3868194,,
2004,agr,324.1715377,,
2000,agr,260.5841483,,
1997,agr,264.220351,,
2007,agr,377.7489498,,
2010,agr,401.3386473,,
2003,agr,282.8921488,,
2011,agr,462.8150403,,
2001,agr,267.6405318,,
2008,eec,235.1233314,,
2009,eec,194.3158069,,
2005,eec,205.1401894,,
2006,eec,224.0825674,,
2012,eec,253.0619761,,
2014,eec,278.8946656,,
2013,eec,262.1609401,,
1999,eec,173.7480693,,
2002,eec,170.941745,,
2017,eec,310.6450066,,
2016,eec,289.3643457,,
2015,eec,286.1995117,,
1998,eec,164.4269059,,
2004,eec,191.2390292,,
2000,eec,189.1571551,,
1997,eec,155.0810549,,
2007,eec,235.640627,,
2010,eec,218.9339468,,
2003,eec,174.3958213,,
2011,eec,236.5029658,,
2001,eec,172.7538746,,
2008,fnd,295.5509908,,
2009,fnd,320.8691084,,
2005,fnd,247.2155051,,
2006,fnd,263.5346946,,
2012,fnd,348.7994992,,
2014,fnd,352.4582244,,
2013,fnd,345.6326585,,
1999,fnd,154.4451904,,
2002,fnd,201.9378371,,
2017,fnd,392.5044728,,
2016,fnd,380.234639,,
2015,fnd,368.9151255,,
1998,fnd,148.0526522,,
2004,fnd,234.0919483,,
2000,fnd,166.8888856,,
1997,fnd,146.2805445,,
2007,fnd,272.0728002,,
2010,fnd,348.6035802,,
2003,fnd,219.6227347,,
2011,fnd,341.1055261,,
2001,fnd,180.3608079,,
2008,pub,240.8542995,,
2009,pub,225.9198302,,
2005,pub,225.287523,,
2006,pub,234.3193442,,
2012,pub,243.1631188,,
2014,pub,277.2588792,,
2013,pub,257.780633,,
1999,pub,182.9020736,,
2002,pub,203.1375783,,
2017,pub,321.7049859,,
2016,pub,306.4447853,,
2015,pub,288.8974992,,
1998,pub,166.2880059,,
2004,pub,215.3333322,,
2000,pub,195.155552,,
1997,pub,147.4395343,,
2007,pub,235.3282299,,
2010,pub,233.5602166,,
2003,pub,199.8584638,,
2011,pub,245.0441246,,
2001,pub,199.0453205,,
2008,hou,1538.064499,,
2009,hou,1585.62492,,
2005,hou,1331.198645,,
2006,hou,1414.900414,,
2012,hou,1701.831723,,
2014,hou,1824.732044,,
2013,hou,1745.156922,,
1999,hou,947.4770711,,
2002,hou,1132.258848,,
2017,hou,2127.872355,,
2016,hou,2037.245423,,
2015,hou,1936.121518,,
1998,hou,893.1365776,,
2004,hou,1241.066418,,
2000,hou,1009.38109,,
1997,hou,838.247453,,
2007,hou,1478.568059,,
2010,hou,1602.265239,,
2003,hou,1175.968442,,
2011,hou,1653.858,,
2001,hou,1084.116971,,
2008,fbt,#N/A,,
2009,fbt,#N/A,,
2005,fbt,#N/A,,
2006,fbt,#N/A,,
2012,fbt,#N/A,,
2014,fbt,#N/A,,
2013,fbt,#N/A,,
1999,fbt,#N/A,,
2002,fbt,#N/A,,
2017,fbt,#N/A,,
2016,fbt,#N/A,,
2015,fbt,#N/A,,
1998,fbt,#N/A,,
2004,fbt,#N/A,,
2000,fbt,#N/A,,
1997,fbt,#N/A,,
2007,fbt,#N/A,,
2010,fbt,#N/A,,
2003,fbt,#N/A,,
2011,fbt,#N/A,,
2001,fbt,#N/A,,
2008,ins,762.0396093,,
2009,ins,697.2521321,,
2005,ins,624.9312129,,
2006,ins,666.0132569,,
2012,ins,839.0416295,,
2014,ins,980.1302683,,
2013,ins,891.7195477,,
1999,ins,394.6912866,,
2002,ins,477.8184081,,
2017,ins,1178.520387,,
2016,ins,1105.640697,,
2015,ins,1054.437084,,
1998,ins,377.4225972,,
2004,ins,576.4290719,,
2000,ins,426.5629634,,
1997,ins,353.6488532,,
2007,ins,729.661734,,
2010,ins,710.3290033,,
2003,ins,525.6929641,,
2011,ins,769.5842034,,
2001,ins,451.9043984,,
2008,tex,126.5282969,,
2009,tex,108.9979769,,
2005,tex,144.7458037,,
2006,tex,142.1242773,,
2012,tex,129.8860228,,
2014,tex,144.1791336,,
2013,tex,135.8027129,,
1999,tex,131.9793852,,
2002,tex,127.238579,,
2017,tex,152.8209939,,
2016,tex,146.5400092,,
2015,tex,145.8550092,,
1998,tex,130.7525696,,
2004,tex,136.9117883,,
2000,tex,133.2214753,,
1997,tex,129.0465431,,
2007,tex,137.6869357,,
2010,tex,116.3512394,,
2003,tex,128.9653416,,
2011,tex,121.681782,,
2001,tex,128.5132833,,
2008,leg,283.778026,,
2009,leg,272.1650376,,
2005,leg,264.7588662,,
2006,leg,274.8417861,,
2012,leg,298.3537582,,
2014,leg,308.3391042,,
2013,leg,299.6402299,,
1999,leg,177.2777133,,
2002,leg,207.7855153,,
2017,leg,352.6968729,,
2016,leg,330.9670746,,
2015,leg,321.8705995,,
1998,leg,166.2407798,,
2004,leg,247.2479406,,
2000,leg,183.6228534,,
1997,leg,151.6399623,,
2007,leg,283.0390173,,
2010,leg,278.0938345,,
2003,leg,234.8260467,,
2011,leg,289.4885217,,
2001,leg,196.5890305,,
2008,fen,77.98949847,,
2009,fen,75.95446883,,
2005,fen,70.53823562,,
2006,fen,74.95011927,,
2012,fen,76.35808269,,
2014,fen,72.87643299,,
2013,fen,72.24587181,,
1999,fen,65.19673372,,
2002,fen,69.34866225,,
2017,fen,70.59820307,,
2016,fen,73.22476349,,
2015,fen,73.26878565,,
1998,fen,63.03567671,,
2004,fen,70.33021221,,
2000,fen,66.73206286,,
1997,fen,60.84163305,,
2007,fen,77.58962606,,
2010,fen,74.98968699,,
2003,fen,68.93682393,,
2011,fen,72.19927872,,
2001,fen,66.71924874,,
2008,uti,626.3564787,,
2009,uti,544.5665031,,
2005,uti,497.4453101,,
2006,uti,508.8655254,,
2012,uti,590.1322468,,
2014,uti,675.2859947,,
2013,uti,625.6000542,,
1999,uti,377.4148753,,
2002,uti,392.9233752,,
2017,uti,626.4995678,,
2016,uti,615.7221633,,
2015,uti,652.7406875,,
