yr,i,fd,value
2008,ppd,fed_structures,-9.97E-09
2009,ppd,fed_structures,-9.97E-09
2005,ppd,fed_structures,-9.97E-09
2006,ppd,fed_structures,-9.97E-09
2012,ppd,fed_structures,-9.99E-09
2014,ppd,fed_structures,-9.99E-09
2013,ppd,fed_structures,-9.99E-09
1999,ppd,fed_structures,-9.97E-09
2002,ppd,fed_structures,-9.99E-09
2017,ppd,fed_structures,-9.99E-09
2016,ppd,fed_structures,-9.97E-09
2015,ppd,fed_structures,-9.97E-09
1998,ppd,fed_structures,-9.97E-09
2004,ppd,fed_structures,-9.97E-09
2000,ppd,fed_structures,-9.99E-09
1997,ppd,fed_structures,-9.97E-09
2007,ppd,fed_structures,-9.97E-09
2010,ppd,fed_structures,-9.97E-09
2003,ppd,fed_structures,-9.99E-09
2011,ppd,fed_structures,-9.97E-09
2001,ppd,fed_structures,-9.99E-09
2008,res,fed_structures,-9.97E-09
2009,res,fed_structures,-9.97E-09
2005,res,fed_structures,-9.97E-09
2006,res,fed_structures,-9.97E-09
2012,res,fed_structures,-9.99E-09
2014,res,fed_structures,-9.99E-09
2013,res,fed_structures,-9.99E-09
1999,res,fed_structures,-9.97E-09
2002,res,fed_structures,-9.99E-09
2017,res,fed_structures,-9.99E-09
2016,res,fed_structures,-9.97E-09
2015,res,fed_structures,-9.97E-09
1998,res,fed_structures,-9.97E-09
2004,res,fed_structures,-9.97E-09
2000,res,fed_structures,-9.99E-09
1997,res,fed_structures,-9.97E-09
2007,res,fed_structures,-9.97E-09
2010,res,fed_structures,-9.97E-09
2003,res,fed_structures,-9.99E-09
2011,res,fed_structures,-9.97E-09
2001,res,fed_structures,-9.99E-09
2008,com,fed_structures,-9.97E-09
2009,com,fed_structures,-9.97E-09
2005,com,fed_structures,-9.97E-09
2006,com,fed_structures,-9.97E-09
2012,com,fed_structures,-9.99E-09
2014,com,fed_structures,-9.99E-09
2013,com,fed_structures,-9.99E-09
1999,com,fed_structures,-9.97E-09
2002,com,fed_structures,-9.99E-09
2017,com,fed_structures,-9.99E-09
2016,com,fed_structures,-9.97E-09
2015,com,fed_structures,-9.97E-09
1998,com,fed_structures,-9.97E-09
2004,com,fed_structures,-9.97E-09
2000,com,fed_structures,-9.99E-09
1997,com,fed_structures,-9.97E-09
2007,com,fed_structures,-9.97E-09
2010,com,fed_structures,-9.97E-09
2003,com,fed_structures,-9.99E-09
2011,com,fed_structures,-9.97E-09
2001,com,fed_structures,-9.99E-09
2008,amb,fed_structures,-9.97E-09
2009,amb,fed_structures,-9.97E-09
2005,amb,fed_structures,-9.97E-09
2006,amb,fed_structures,-9.97E-09
2012,amb,fed_structures,-9.99E-09
2014,amb,fed_structures,-9.99E-09
2013,amb,fed_structures,-9.99E-09
1999,amb,fed_structures,-9.97E-09
2002,amb,fed_structures,-9.99E-09
2017,amb,fed_structures,-9.99E-09
2016,amb,fed_structures,-9.97E-09
2015,amb,fed_structures,-9.97E-09
1998,amb,fed_structures,-9.97E-09
2004,amb,fed_structures,-9.97E-09
2000,amb,fed_structures,-9.99E-09
1997,amb,fed_structures,-9.97E-09
2007,amb,fed_structures,-9.97E-09
2010,amb,fed_structures,-9.97E-09
2003,amb,fed_structures,-9.99E-09
2011,amb,fed_structures,-9.97E-09
2001,amb,fed_structures,-9.99E-09
2008,fbp,fed_structures,-9.97E-09
2009,fbp,fed_structures,-9.97E-09
2005,fbp,fed_structures,-9.97E-09
2006,fbp,fed_structures,-9.97E-09
2012,fbp,fed_structures,-9.99E-09
