yr,i,j,value,
2008,ppd,ppd,52.6936044518123000,
2009,ppd,ppd,43.5276399104606000,
2005,ppd,ppd,46.3335554869061000,
2006,ppd,ppd,47.5234514399007000,
2012,ppd,ppd,48.9167805050095000,
2014,ppd,ppd,51.2249325616019000,
2013,ppd,ppd,51.4473357050502000,
1999,ppd,ppd,41.4517315414638000,
2002,ppd,ppd,41.9365701455323000,
2017,ppd,ppd,43.5622643729772000,
2016,ppd,ppd,47.7124218779862000,
2015,ppd,ppd,49.4054148148886000,
1998,ppd,ppd,41.5450752128971000,
2004,ppd,ppd,43.9088559943912000,
2000,ppd,ppd,44.2442610249186000,
1997,ppd,ppd,39.7687558532746000,
2007,ppd,ppd,50.4693474512770000,
2010,ppd,ppd,46.7120554267810000,
2003,ppd,ppd,40.9585956120507000,
2011,ppd,ppd,49.3412859205360000,
2001,ppd,ppd,41.6508440368288000,
2008,res,ppd,0.2520260896044000,
2009,res,ppd,0.2176731986760260,
2005,res,ppd,0.2727863443532180,
2006,res,ppd,0.3047894441914440,
2012,res,ppd,0.2560696909269540,
2014,res,ppd,0.2529179631256800,
2013,res,ppd,0.2483785325897680,
1999,res,ppd,0.1980180023781880,
2002,res,ppd,0.2526949933590240,
2017,res,ppd,0.2098189693580000,
2016,res,ppd,0.2346850809900960,
2015,res,ppd,0.2205738816010210,
1998,res,ppd,0.2051363811597720,
2004,res,ppd,0.2428682753949170,
2000,res,ppd,0.2161427387603130,
1997,res,ppd,0.1840084472549630,
2007,res,ppd,0.2856744664738440,
2010,res,ppd,0.2018803627592550,
2003,res,ppd,0.2723350665002230,
2011,res,ppd,0.1552034276348900,
2001,res,ppd,0.2336174506997620,
2008,com,ppd,0.1948551047194430,
2009,com,ppd,0.1522641651309150,
2005,com,ppd,0.2239211669959860,
2006,com,ppd,0.2166335267959910,
2012,com,ppd,0.2497581669315730,
2014,com,ppd,0.2536912350135020,
2013,com,ppd,0.2390585509566360,
1999,com,ppd,0.2312360228972430,
2002,com,ppd,0.3098814228270090,
2017,com,ppd,0.2697595551362470,
2016,com,ppd,0.2617747318297130,
2015,com,ppd,0.2204228048899980,
1998,com,ppd,0.1988889950046420,
2004,com,ppd,0.2008340959098560,
