yr,i,value
2008,ppd,24.96900000000000000
2009,ppd,19.27900000000000000
2005,ppd,23.10700000000000000
2006,ppd,24.64700000000000000
2012,ppd,21.50900000000000000
2014,ppd,23.85600000000000000
2013,ppd,22.48100000000000000
1999,ppd,17.85600000000000000
2002,ppd,18.23700000000000000
2017,ppd,23.07600000000000000
2016,ppd,22.82200000000000000
2015,ppd,23.43400000000000000
1998,ppd,17.38200000000000000
2004,ppd,21.68600000000000000
2000,ppd,20.12100000000000000
1997,ppd,16.54600000000000000
2007,ppd,24.49700000000000000
2010,ppd,21.70000000000000000
2003,ppd,19.24400000000000000
2011,ppd,22.49800000000000000
2001,ppd,18.58000000000000000
2008,com,15.60000000000000000
2009,com,16.60200000000000000
2005,com,9.81100000000000000
2006,com,12.52700000000000000
2012,com,23.46600000000000000
2014,com,26.96800000000000000
2013,com,25.27300000000000000
1999,com,5.61600000000000000
2002,com,6.01500000000000000
2017,com,31.29700000000000000
2016,com,29.10900000000000000
2015,com,27.60500000000000000
1998,com,5.15000000000000000
2004,com,8.00200000000000000
2000,com,5.79400000000000000
1997,com,4.84900000000000000
2007,com,14.00600000000000000
2010,com,19.14300000000000000
2003,com,7.08600000000000000
2011,com,23.50700000000000000
2001,com,6.01000000000000000
2008,fbp,62.67100000000000000
2009,fbp,56.09900000000000000
2005,fbp,48.74500000000000000
2006,fbp,52.55200000000000000
2012,fbp,80.14200000000000000
2014,fbp,83.32200000000000000
2013,fbp,78.68300000000000000
1999,fbp,31.31500000000000000
2002,fbp,35.64100000000000000
2017,fbp,91.61600000000000000
2016,fbp,86.87900000000000000
2015,fbp,86.25500000000000000
1998,fbp,29.23800000000000000
2004,fbp,45.03500000000000000
2000,fbp,31.62700000000000000
1997,fbp,31.66100000000000000
2007,fbp,57.28000000000000000
2010,fbp,62.78100000000000000
2003,fbp,38.77600000000000000
2011,fbp,72.48500000000000000
2001,fbp,33.12200000000000000
2008,agr,24.99900000000000000
2009,agr,23.43200000000000000
2005,agr,17.95300000000000000
2006,agr,20.05900000000000000
2012,agr,32.52500000000000000
2014,agr,38.79900000000000000
2013,agr,34.56500000000000000
1999,agr,14.23800000000000000
2002,agr,14.26400000000000000
2017,agr,42.30700000000000000
2016,agr,39.94800000000000000
2015,agr,38.42300000000000000
1998,agr,13.76200000000000000
2004,agr,15.61000000000000000
2000,agr,14.05100000000000000
1997,agr,15.29700000000000000
2007,agr,22.95800000000000000
2010,agr,26.04200000000000000
2003,agr,15.04000000000000000
2011,agr,30.82600000000000000
2001,agr,13.99800000000000000
2008,eec,66.59000000000000000
2009,eec,53.47300000000000000
2005,eec,54.37800000000000000
2006,eec,61.55600000000000000
2012,eec,78.28800000000000000
2014,eec,88.52000000000000000
2013,eec,80.93600000000000000
1999,eec,34.73400000000000000
2002,eec,39.87200000000000000
2017,eec,100.69500000000000000
2016,eec,90.27900000000000000
2015,eec,91.89500000000000000
1998,eec,30.21600000000000000
2004,eec,48.71400000000000000
2000,eec,39.78900000000000000
1997,eec,25.69500000000000000
2007,eec,65.87700000000000000
2010,eec,65.69300000000000000
2003,eec,42.23900000000000000
2011,eec,71.62300000000000000
2001,eec,38.94500000000000000
2008,pub,4.44400000000000000
2009,pub,3.67300000000000000
2005,pub,3.72400000000000000
2006,pub,3.85500000000000000
2012,pub,3.71300000000000000
2014,pub,4.07000000000000000
2013,pub,3.73900000000000000
