yr,m,i,value
2008,trn,ppd,12.272577762568900
2009,trn,ppd,9.602496336913300
2005,trn,ppd,9.423831410368560
2006,trn,ppd,10.123942740809700
2012,trn,ppd,12.399974252454500
2014,trn,ppd,13.047604202463800
2013,trn,ppd,12.781318121337700
1999,trn,ppd,6.192902958878980
2002,trn,ppd,8.268722225134660
2017,trn,ppd,12.279054306350300
2016,trn,ppd,11.080899031088000
2015,trn,ppd,11.355158706227200
1998,trn,ppd,6.209706799307630
2004,trn,ppd,8.837861009363360
2000,trn,ppd,4.099364459804240
1997,trn,ppd,6.935311095976910
2007,trn,ppd,11.218119099259800
2010,trn,ppd,10.760691487627900
2003,trn,ppd,8.627565231046100
2011,trn,ppd,12.079832953834900
2001,trn,ppd,8.678646595888490
2008,trd,ppd,34.903781113083700
2009,trd,ppd,34.005560937372700
2005,trd,ppd,31.133357282269300
2006,trd,ppd,32.241984418922000
2012,trd,ppd,39.873664921424000
2014,trd,ppd,42.497551096644800
2013,trd,ppd,41.645904878117900
1999,trd,ppd,24.380339327626900
2002,trd,ppd,27.637776389648300
2017,trd,ppd,45.324355629096100
2016,trd,ppd,43.830210863934200
2015,trd,ppd,43.639739319966000
1998,trd,ppd,22.873380003914100
2004,trd,ppd,29.295661171482700
2000,trd,ppd,26.091319685760000
1997,trd,ppd,22.118154527243600
2007,trd,ppd,34.774781318540200
2010,trd,ppd,36.714270552058000
2003,trd,ppd,27.717752791959300
2011,trd,ppd,38.690809932921400
2001,trd,ppd,26.040718168181100
2008,trn,res,0.000000000002242
2009,trn,res,0.000000000000955
2005,trn,res,0.000000000028573
2006,trn,res,0.000000000068634
2012,trn,res,0.000000000001797
2014,trn,res,0.000000000009243
2013,trn,res,0.000000000006802
1999,trn,res,0.000000000003984
2002,trn,res,0.000000000016409
2017,trn,res,0.000000000005614
2016,trn,res,0.000000000007616
2015,trn,res,0.000000000016670
1998,trn,res,0.000000000001387
2004,trn,res,0.000000000024510
2000,trn,res,0.000000000009037
1997,trn,res,0.000000000003729
2007,trn,res,0.000000000001379
2010,trn,res,0.000000000000424
2003,trn,res,0.000000000019096
2011,trn,res,0.000000000000817
2001,trn,res,0.000000000005366
2008,trd,res,0.000000000002222
2009,trd,res,0.000000000000945
2005,trd,res,0.000000000028141
2006,trd,res,0.000000000067587
2012,trd,res,0.000000000001780
2014,trd,res,0.000000000009172
2013,trd,res,0.000000000006743
1999,trd,res,0.000000000003953
2002,trd,res,0.000000000016274
2017,trd,res,0.000000000005588
2016,trd,res,0.000000000007574
2015,trd,res,0.000000000016557
1998,trd,res,0.000000000001378
2004,trd,res,0.000000000024226
2000,trd,res,0.000000000008972
1997,trd,res,0.000000000003711
2007,trd,res,0.000000000001363
2010,trd,res,0.000000000000419
2003,trd,res,0.000000000018951
2011,trd,res,0.000000000000811
2001,trd,res,0.000000000005318
2008,trn,com,0.000000000002238
2009,trn,com,0.000000000000956
2005,trn,com,0.000000000028547
2006,trn,com,0.000000000068508
2012,trn,com,0.000000000001793
2014,trn,com,0.000000000009238
2013,trn,com,0.000000000006796
1999,trn,com,0.000000000003980
2002,trn,com,0.000000000016392
2017,trn,com,0.000000000005617
2016,trn,com,0.000000000007621
2015,trn,com,0.000000000016691
1998,trn,com,0.000000000001386
2004,trn,com,0.000000000024526
2000,trn,com,0.000000000009029
1997,trn,com,0.000000000003729
2007,trn,com,0.000000000001376
2010,trn,com,0.000000000000424
2003,trn,com,0.000000000019086
2011,trn,com,0.000000000000817
2001,trn,com,0.000000000005362
2008,trd,com,0.000000000002218
2009,trd,com,0.000000000000946
2005,trd,com,0.000000000028115
2006,trd,com,0.000000000067461
2012,trd,com,0.000000000001777
2014,trd,com,0.000000000009166
2013,trd,com,0.000000000006738
1999,trd,com,0.000000000003948
2002,trd,com,0.000000000016258
2017,trd,com,0.000000000005591
2016,trd,com,0.000000000007579
2015,trd,com,0.000000000016578
1998,trd,com,0.000000000001377
2004,trd,com,0.000000000024241
2000,trd,com,0.000000000008964
1997,trd,com,0.000000000003711
2007,trd,com,0.000000000001361
2010,trd,com,0.000000000000419
2003,trd,com,0.000000000018940
2011,trd,com,0.000000000000811
2001,trd,com,0.000000000005314
2008,trn,amb,0.000000000002241
2009,trn,amb,0.000000000000954
2005,trn,amb,0.000000000028544
2006,trn,amb,0.000000000068549
2012,trn,amb,0.000000000001795
2014,trn,amb,0.000000000009234
2013,trn,amb,0.000000000006794
1999,trn,amb,0.000000000003988
2002,trn,amb,0.000000000016418
2017,trn,amb,0.000000000005618
2016,trn,amb,0.000000000007616
2015,trn,amb,0.000000000016669
1998,trn,amb,0.000000000001389
2004,trn,amb,0.000000000024507
2000,trn,amb,0.000000000009044
1997,trn,amb,0.000000000003734
2007,trn,amb,0.000000000001377
2010,trn,amb,0.000000000000423
2003,trn,amb,0.000000000019108
2011,trn,amb,0.000000000000816
2001,trn,amb,0.000000000005371
2008,trd,amb,0.000000000002221
2009,trd,amb,0.000000000000944
2005,trd,amb,0.000000000028112
2006,trd,amb,0.000000000067504
2012,trd,amb,0.000000000001779
2014,trd,amb,0.000000000009163
2013,trd,amb,0.000000000006735
1999,trd,amb,0.000000000003956
2002,trd,amb,0.000000000016283
2017,trd,amb,0.000000000005591
2016,trd,amb,0.000000000007574
2015,trd,amb,0.000000000016555
1998,trd,amb,0.000000000001380
2004,trd,amb,0.000000000024223
2000,trd,amb,0.000000000008980
1997,trd,amb,0.000000000003716
2007,trd,amb,0.000000000001362
2010,trd,amb,0.000000000000418
2003,trd,amb,0.000000000018963
2011,trd,amb,0.000000000000810
2001,trd,amb,0.000000000005323
2008,trn,fbp,24.445169919066800
2009,trn,fbp,21.555310233515900
2005,trn,fbp,16.285066734151100
2006,trn,fbp,20.364208169455900
2012,trn,fbp,26.420749167950800
2014,trn,fbp,28.953140539110700
2013,trn,fbp,26.927674597706600
1999,trn,fbp,12.015605422359700
2002,trn,fbp,15.585148496133300
2017,trn,fbp,26.597172323181900
2016,trn,fbp,25.847878988550700
2015,trn,fbp,25.690577919141000
1998,trn,fbp,11.111896314419600
2004,trn,fbp,14.414142139274100
2000,trn,fbp,12.461430724680100
1997,trn,fbp,10.482115679276700
2007,trn,fbp,22.843520884794400
2010,trn,fbp,23.461085722910900
2003,trn,fbp,15.542239991886600
2011,trn,fbp,25.614462952722000
2001,trn,fbp,13.781563183287200
2008,trd,fbp,326.445688077707000
2009,trd,fbp,320.433761616559000
2005,trd,fbp,283.770344397316000
2006,trd,fbp,298.595169492691000
2012,trd,fbp,380.299924909681000
2014,trd,fbp,407.432743404344000
2013,trd,fbp,395.870564612158000
1999,trd,fbp,214.705442294426000
2002,trd,fbp,243.566615482981000
2017,trd,fbp,456.292425949184000
2016,trd,fbp,431.982541630955000
2015,trd,fbp,427.449317467476000
1998,trd,fbp,202.511794762566000
2004,trd,fbp,270.463611445420000
2000,trd,fbp,223.555524831875000
1997,trd,fbp,198.853213528086000
2007,trd,fbp,316.692580725530000
2010,trd,fbp,343.814424670900000
2003,trd,fbp,262.903597240822000
2011,trd,fbp,357.667235541327000
2001,trd,fbp,233.591028219151000
2008,trn,rec,0.000000000002248
2009,trn,rec,0.000000000000957
2005,trn,rec,0.000000000028622
2006,trn,rec,0.000000000068744
2012,trn,rec,0.000000000001803
2014,trn,rec,0.000000000009271
2013,trn,rec,0.000000000006822
1999,trn,rec,0.000000000004001
2002,trn,rec,0.000000000016459
2017,trn,rec,0.000000000005649
2016,trn,rec,0.000000000007639
2015,trn,rec,0.000000000016708
1998,trn,rec,0.000000000001395
2004,trn,rec,0.000000000024557
2000,trn,rec,0.000000000009067
1997,trn,rec,0.000000000003744
2007,trn,rec,0.000000000001381
2010,trn,rec,0.000000000000425
2003,trn,rec,0.000000000019154
2011,trn,rec,0.000000000000819
2001,trn,rec,0.000000000005392
2008,trd,rec,0.000000000002228
2009,trd,rec,0.000000000000947
2005,trd,rec,0.000000000028189
2006,trd,rec,0.000000000067695
2012,trd,rec,0.000000000001786
2014,trd,rec,0.000000000009199
2013,trd,rec,0.000000000006763
1999,trd,rec,0.000000000003969
2002,trd,rec,0.000000000016324
2017,trd,rec,0.000000000005622
2016,trd,rec,0.000000000007597
2015,trd,rec,0.000000000016595
1998,trd,rec,0.000000000001386
2004,trd,rec,0.000000000024273
2000,trd,rec,0.000000000009002
1997,trd,rec,0.000000000003725
2007,trd,rec,0.000000000001366
2010,trd,rec,0.000000000000420
2003,trd,rec,0.000000000019008
2011,trd,rec,0.000000000000813
2001,trd,rec,0.000000000005344
2008,trn,con,0.000000000002240
2009,trn,con,0.000000000000956
2005,trn,con,0.000000000028538
