yr,i,m,value,
2008,ppd,trn,2.2045328892852900E-12,
2009,ppd,trn,9.4100376518587100E-13,
2005,ppd,trn,2.7873755891816200E-11,
2006,ppd,trn,6.6851935352623000E-11,
2012,ppd,trn,1.7643832498923000E-12,
2014,ppd,trn,9.1309569906541500E-12,
2013,ppd,trn,6.7008333178487000E-12,
1999,ppd,trn,3.9364874168566700E-12,
2002,ppd,trn,1.6209554610623400E-11,
2017,ppd,trn,5.5717969445252700E-12,
2016,ppd,trn,7.5634798355624000E-12,
2015,ppd,trn,1.6554389399768600E-11,
1998,ppd,trn,1.3752882310682200E-12,
2004,ppd,trn,2.4110837225598000E-11,
2000,ppd,trn,8.9481889998357100E-12,
1997,ppd,trn,3.7119987299523600E-12,
2007,ppd,trn,1.3519575136498100E-12,
2010,ppd,trn,4.1546808847864200E-13,
2003,ppd,trn,1.8889833513231300E-11,
2011,ppd,trn,8.0615595972995200E-13,
2001,ppd,trn,5.2951193592162100E-12,
2008,res,trn,2.2013881114741700E-12,
2009,res,trn,9.4062759715769000E-13,
2005,res,trn,2.7888613978686800E-11,
2006,res,trn,6.6761147846346600E-11,
2012,res,trn,1.7606040176622900E-12,
2014,res,trn,9.1131268874921000E-12,
2013,res,trn,6.6853121028410800E-12,
1999,res,trn,3.9296204158341000E-12,
2002,res,trn,1.6198812886986400E-11,
2017,res,trn,5.5760294330030400E-12,
2016,res,trn,7.5622486814414500E-12,
2015,res,trn,1.6558823658846800E-11,
1998,res,trn,1.3748579915256000E-12,
2004,res,trn,2.4139196694711600E-11,
2000,res,trn,8.9328093982337500E-12,
1997,res,trn,3.7117552716490500E-12,
2007,res,trn,1.3490771001602500E-12,
2010,res,trn,4.1516229385351700E-13,
2003,res,trn,1.8879736441110300E-11,
2011,res,trn,8.0524401200556000E-13,
2001,res,trn,5.2876708093555400E-12,
2008,com,trn,2.2041585288889800E-12,
2009,com,trn,9.3842616582635300E-13,
2005,com,trn,2.7852347413984000E-11,
2006,com,trn,6.6776035452791900E-11,
2012,com,trn,1.7625727899000600E-12,
2014,com,trn,9.1096332152446200E-12,
2013,com,trn,6.6843673900200200E-12,
1999,com,trn,3.9223037951794400E-12,
2002,com,trn,1.6172655823977200E-11,
2017,com,trn,5.5623982558301900E-12,
2016,com,trn,7.5476376121412000E-12,
2015,com,trn,1.6518485646349500E-11,
1998,com,trn,1.3715087359828000E-12,
2004,com,trn,2.4066424783417600E-11,
2000,com,trn,8.9178447866184400E-12,
1997,com,trn,3.6994210315508800E-12,
2007,com,trn,1.3495960666422700E-12,
2010,com,trn,4.1511771599632200E-13,
2003,com,trn,1.8841725217630400E-11,
2011,com,trn,8.0541951178759900E-13,
2001,com,trn,5.2761682352137900E-12,
2008,amb,trn,2.2060477863908200E-12,
2009,amb,trn,9.4358139671328000E-13,
2005,amb,trn,2.7968302935622800E-11,
2006,amb,trn,6.6985515765437300E-11,
2012,amb,trn,1.7658447233964700E-12,
2014,amb,trn,9.1437466380176500E-12,
2013,amb,trn,6.7084931163659100E-12,
1999,amb,trn,3.9320003909725200E-12,
2002,amb,trn,1.6215972443304000E-11,
2017,amb,trn,5.5790582699203600E-12,
2016,amb,trn,7.5724561686495400E-12,
2015,amb,trn,1.6584584408637000E-11,
1998,amb,trn,1.3752053382380200E-12,
2004,amb,trn,2.4179336059885000E-11,
2000,amb,trn,8.9388036492985600E-12,
1997,amb,trn,3.7112755107090400E-12,
2007,amb,trn,1.3535849136233700E-12,
2010,amb,trn,4.1668684836703100E-13,
2003,amb,trn,1.8899048977989900E-11,
2011,amb,trn,8.0790431663556200E-13,
2001,amb,trn,5.2920897767847900E-12,
2008,fbp,trn,2.2089632464071700E-12,
2009,fbp,trn,9.4225293369891500E-13,
2005,fbp,trn,2.7969122430715800E-11,
2006,fbp,trn,6.7038466095390900E-11,
2012,fbp,trn,1.7665873374467400E-12,
2014,fbp,trn,9.1384372822334800E-12,
2013,fbp,trn,6.7066316397519200E-12,
1999,fbp,trn,3.9368083052403500E-12,
2002,fbp,trn,1.6220736929352700E-11,
2017,fbp,trn,5.5803744562931600E-12,
2016,fbp,trn,7.5686473849789100E-12,
2015,fbp,trn,1.6572125801783200E-11,
1998,fbp,trn,1.3769426464916500E-12,
2004,fbp,trn,2.4176217165474900E-11,
2000,fbp,trn,8.9490463944946200E-12,
1997,fbp,trn,3.7160010295407600E-12,
2007,fbp,trn,1.3535980337392700E-12,
2010,fbp,trn,4.1647163098499900E-13,
2003,fbp,trn,1.8906365917006800E-11,
2011,fbp,trn,8.0748264857952500E-13,
2001,fbp,trn,5.2978847052132600E-12,
2008,rec,trn,2.1976554640706100E-12,
2009,rec,trn,9.4006526872689300E-13,
2005,rec,trn,2.7871392713710800E-11,
2006,rec,trn,6.6738410883442800E-11,
2012,rec,trn,1.7578522632381600E-12,
2014,rec,trn,9.1009778322738600E-12,
2013,rec,trn,6.6777017273039900E-12,
1999,rec,trn,3.9131318175750500E-12,
2002,rec,trn,1.6150379515781900E-11,
2017,rec,trn,5.5358280135925500E-12,
2016,rec,trn,7.5431354527777400E-12,
2015,rec,trn,1.6535820217765200E-11,
1998,rec,trn,1.3664902097478700E-12,
2004,rec,trn,2.4112394525594800E-11,
2000,rec,trn,8.9058676652199900E-12,
1997,rec,trn,3.6958627566360100E-12,
2007,rec,trn,1.3481370561550200E-12,
2010,rec,trn,4.1502082054490900E-13,
2003,rec,trn,1.8828570233637600E-11,
2011,rec,trn,8.0427756237902500E-13,
2001,rec,trn,5.2599280266245100E-12,
2008,con,trn,2.2065536691021100E-12,
2009,con,trn,9.4125219022002800E-13,
2005,con,trn,2.8028216246906900E-11,
2006,con,trn,6.7105381244525400E-11,
2012,con,trn,1.7646278217111000E-12,
2014,con,trn,9.1269779805273900E-12,
2013,con,trn,6.6963819294579100E-12,
1999,con,trn,3.9378672277791500E-12,
2002,con,trn,1.6229846074769100E-11,
2017,con,trn,5.5798391782901600E-12,
2016,con,trn,7.5648549070161500E-12,
2015,con,trn,1.6559253868943300E-11,
1998,con,trn,1.3768832975436800E-12,
2004,con,trn,2.4209246031517900E-11,
2000,con,trn,8.9489742462981900E-12,
1997,con,trn,3.7156390419577400E-12,
2007,con,trn,1.3531966029925500E-12,
2010,con,trn,4.1576696802558200E-13,
2003,con,trn,1.8918078581511700E-11,
2011,con,trn,8.0666443829514900E-13,
2001,con,trn,5.2975946088514300E-12,
2008,agr,trn,2.2084671893151300E-12,
2009,agr,trn,9.4436616124260000E-13,
2005,agr,trn,2.7932369079457100E-11,
2006,agr,trn,6.6896526082707000E-11,
2012,agr,trn,1.7702141941819600E-12,
2014,agr,trn,9.1600084136037000E-12,
2013,agr,trn,6.7245271628313700E-12,
1999,agr,trn,3.9369788935358900E-12,
2002,agr,trn,1.6213534647292300E-11,
2017,agr,trn,5.5840057152364500E-12,
2016,agr,trn,7.5809713358179700E-12,
2015,agr,trn,1.6611016184895000E-11,
1998,agr,trn,1.3768581547449500E-12,
2004,agr,trn,2.4197467316438800E-11,
2000,agr,trn,8.9469382792737300E-12,
1997,agr,trn,3.7174884498204700E-12,
2007,agr,trn,1.3532760954789300E-12,
2010,agr,trn,4.1697409004638500E-13,
2003,agr,trn,1.8910063016174500E-11,
2011,agr,trn,8.0903909964108100E-13,
2001,agr,trn,5.2943507270194100E-12,
2008,eec,trn,2.2015119197841600E-12,
2009,eec,trn,9.3860957332011400E-13,
2005,eec,trn,2.7819709737611400E-11,
2006,eec,trn,6.6738824495229300E-11,
2012,eec,trn,1.7609898166494900E-12,
2014,eec,trn,9.1082666628623700E-12,
2013,eec,trn,6.6877961544743800E-12,
1999,eec,trn,3.9305637399469200E-12,
2002,eec,trn,1.6175493036648500E-11,
2017,eec,trn,5.5615239270503800E-12,
2016,eec,trn,7.5469755912127700E-12,
2015,eec,trn,1.6517641601019800E-11,
1998,eec,trn,1.3739803927047900E-12,
2004,eec,trn,2.4067738318380900E-11,
2000,eec,trn,8.9320352820611000E-12,
1997,eec,trn,3.7102219610534600E-12,
2007,eec,trn,1.3494742714577700E-12,
2010,eec,trn,4.1448486000105100E-13,
2003,eec,trn,1.8850937119008800E-11,
2011,eec,trn,8.0458452031743600E-13,
2001,eec,trn,5.2818458192411800E-12,
2008,fnd,trn,2.2129013204819500E-12,
2009,fnd,trn,9.4214651307005500E-13,
2005,fnd,trn,2.7951617179284600E-11,
2006,fnd,trn,6.6997177420441500E-11,
2012,fnd,trn,1.7685314204738900E-12,
2014,fnd,trn,9.1444088083820500E-12,
2013,fnd,trn,6.7106460619331800E-12,
1999,fnd,trn,3.9327284615053400E-12,
2002,fnd,trn,1.6206131987911700E-11,
2017,fnd,trn,5.5773268740253100E-12,
2016,fnd,trn,7.5706906339224500E-12,
2015,fnd,trn,1.6572824856483900E-11,
1998,fnd,trn,1.3741732243758600E-12,
2004,fnd,trn,2.4149841159320800E-11,
2000,fnd,trn,8.9394930561620600E-12,
1997,fnd,trn,3.7074755374183200E-12,
2007,fnd,trn,1.3539723394235300E-12,
2010,fnd,trn,4.1615972919544300E-13,
2003,fnd,trn,1.8890926678301900E-11,
2011,fnd,trn,8.0820525248037700E-13,
