yr,i,value
2008,ppd,175.5532605855170
2009,ppd,159.2759831431070
2005,ppd,158.3212530921390
2006,ppd,165.7872128622850
2012,ppd,177.2670500326290
2014,ppd,182.6146735795240
2013,ppd,181.9338430634170
1999,ppd,153.4979747505680
2002,ppd,150.7118084796860
2017,ppd,179.0608351491820
2016,ppd,176.9140061768800
2015,ppd,181.1078804952370
1998,ppd,151.2119376114390
2004,ppd,151.0032390112660
2000,ppd,161.6488171562900
1997,ppd,147.1922148976430
2007,ppd,172.3103134970540
2010,ppd,167.9679833674330
2003,ppd,146.9856129445050
2011,ppd,173.7435634182210
2001,ppd,153.0192193984180
2008,res,497.3479114541140
2009,res,494.1408246653360
2005,res,445.6484268978920
2006,res,469.7857290793240
2012,res,577.4126987980030
2014,res,638.4936329620620
2013,res,600.1764040427810
1999,res,321.9952551174960
2002,res,381.4093755723120
2017,res,759.6293238966380
2016,res,722.8464149999980
2015,res,690.1999517485120
1998,res,306.5258298222360
2004,res,424.5678637194940
2000,res,346.8759789062090
1997,res,289.2220713673060
2007,res,487.5184617192450
2010,res,510.3808800837610
2003,res,400.6362995285290
2011,res,544.3004295972130
2001,res,361.4056196594060
2008,com,279.0392888949130
2009,com,277.4091463758450
2005,com,215.9645833655580
2006,com,228.3577737225440
2012,com,350.7181547773640
2014,com,373.5975362097770
2013,com,354.9359048638280
1999,com,183.4683809136920
2002,com,198.0784071428590
2017,com,429.2622544826540
2016,com,401.7343975048130
2015,com,377.2528197437760
1998,com,152.1423285351680
2004,com,199.8544854862900
2000,com,213.6312807208680
1997,com,122.6781138245390
2007,com,254.4847959184380
2010,com,302.3306302449650
2003,com,196.1212739824710
2011,com,327.7167214546200
2001,com,202.1503798627910
2008,amb,744.6372404959420
2009,amb,772.0640641730390
2005,amb,642.0504839988640
2006,amb,670.8297158410560
2012,amb,867.5349472483270
2014,amb,907.6358436565940
2013,amb,873.4411952287330
1999,amb,425.3126151731710
2002,amb,528.8887278154450
2017,amb,1043.9430495628400
2016,amb,1003.2599978892700
2015,amb,956.1033393077880
1998,amb,407.4826002589390
2004,amb,606.5173048061760
2000,amb,452.0808755963250
1997,amb,387.6774712086120
2007,amb,706.9184237341960
2010,amb,802.0302722572170
2003,amb,566.0429917502070
2011,amb,832.5980437261920
2001,amb,491.7878245620250
2008,fbp,760.0422377642740
2009,fbp,744.9013964143800
2005,fbp,642.6949757105470
2006,fbp,648.6791284678230
2012,fbp,864.9949553720560
2014,fbp,921.0108311146080
2013,fbp,892.0146393843660
1999,fbp,523.8605484672300
2002,fbp,551.9193319764470
2017,fbp,934.3658103421370
2016,fbp,909.2713703323970
2015,fbp,919.1844592652340
1998,fbp,526.2525656477760
2004,fbp,612.6279751979180
2000,fbp,541.3121666386780
1997,fbp,517.6624549856380
2007,fbp,701.5021424190450
2010,fbp,769.9639504175740
2003,fbp,582.6873097120290
2011,fbp,827.3257892339560
2001,fbp,560.7366720160140
2008,rec,110.2011806500740
2009,rec,105.1831278158970
2005,rec,90.8926767738858
2006,rec,101.3253862819400
2012,rec,112.0594405152670
2014,rec,120.9866926202720
2013,rec,116.3190794690930
1999,rec,69.9073419099784
2002,rec,72.5492344222295
2017,rec,142.8039942918800
2016,rec,133.2273034369890
2015,rec,127.2869810904480
1998,rec,65.7986456875588
2004,rec,86.4455639001047
2000,rec,71.8354057143713
1997,rec,65.0047061360099
2007,rec,109.4546984065980
2010,rec,105.8346872443350
2003,rec,78.9475320588849
2011,rec,108.9705067274850
2001,rec,73.3510561417054
2008,con,1273.7082531445300
2009,con,1095.4477096132200
2005,con,1285.8095905737500
2006,con,1352.1176866562200
2012,con,1072.6923984124300
2014,con,1256.7006408870300
2013,con,1153.8050117482900
1999,con,840.0149962256370
2002,con,968.7060449105890
2017,con,1544.9417900287600
2016,con,1470.9309639638700
2015,con,1368.8671499256300
1998,con,777.9999863843360
2004,con,1156.8823489717500
2000,con,912.4262020467940
1997,con,707.4663612173970
2007,con,1337.7073141582600
2010,con,1015.1240674257300
2003,con,1038.3736610008700
2011,con,1018.8262863622800
2001,con,955.1643160711820
2008,agr,338.5098992793350
2009,agr,309.2270453654290
2005,agr,271.2920309493920
2006,agr,266.6142921132100
2012,agr,414.7884571586060
2014,agr,450.8622802339800
2013,agr,446.1776841864000
1999,agr,217.4799897334210
2002,agr,211.9392901246630
2017,agr,399.4925512309840
2016,agr,384.6523050702770
2015,agr,409.2300692893640
1998,agr,217.2134565175840
2004,agr,271.4223108953850
2000,agr,223.3234879764700
1997,agr,224.6758136418970
2007,agr,311.3079831209030
2010,agr,333.2699040226810
2003,agr,239.8408644794620
2011,agr,390.4987172999450
2001,agr,231.3290572808470
2008,eec,126.2979989019080
2009,eec,102.7560057251890
2005,eec,108.1505281858220
2006,eec,116.4849860136800
2012,eec,122.8952124279540
2014,eec,125.9039453158650
2013,eec,123.1320728084740
1999,eec,116.3435608418550
2002,eec,100.3332969945330
2017,eec,128.2663141354740
2016,eec,123.7141220008290
2015,eec,125.4472725671580
1998,eec,114.2417115417060
2004,eec,101.8650366843410
2000,eec,124.5147621127190
1997,eec,110.6034506741740
2007,eec,125.4651748958110
2010,eec,108.8306320676460
2003,eec,97.4236646412898
2011,eec,118.1714589932900
2001,eec,110.1742876500520
2008,fnd,313.5505239484990
2009,fnd,339.5825973618490
2005,fnd,266.4485415058710
2006,fnd,281.3100185039990
2012,fnd,367.2562025166610
2014,fnd,372.0368405998840
2013,fnd,363.6028469318290
1999,fnd,169.4601272973480
2002,fnd,217.6095977261770
2017,fnd,414.3979382746620
2016,fnd,401.6359933104720
2015,fnd,388.7471546790150
1998,fnd,163.8793570683840
2004,fnd,250.9643053499140
2000,fnd,183.4734452318270
1997,fnd,160.5618845893470
2007,fnd,289.1499471705850
2010,fnd,368.9741358857930
2003,fnd,236.0264243217720
2011,fnd,363.5026896924540
2001,fnd,196.1464744196890
2008,pub,311.1794758316790
2009,pub,287.2463883637650
2005,pub,290.4503137460990
2006,pub,302.9610074315950
2012,pub,294.3797753196180
2014,pub,319.0736545554450
2013,pub,306.7582650135870
1999,pub,237.0121749215170
2002,pub,263.6091729519990
2017,pub,340.0783486573910
2016,pub,331.1486748919100
2015,pub,319.1250367276690
1998,pub,213.0001825093720
2004,pub,278.3619652320020
2000,pub,257.3757407019730
1997,pub,189.7398166323150
2007,pub,309.4574083260330
2010,pub,287.5585362226150
2003,pub,260.6386036625200
2011,pub,296.3192039001430
2001,pub,260.3362506525830
2008,hou,1573.4514427957600
2009,hou,1610.9465768962800
2005,hou,1374.9177515145900
2006,hou,1460.8534703780400
2012,hou,1724.1665789170300
2014,hou,1848.8948053459300
2013,hou,1769.1686008633700
1999,hou,978.0642083359250
2002,hou,1164.0174908444900
2017,hou,2159.1797242068300
2016,hou,2066.2693089774100
2015,hou,1962.4617788965800
1998,hou,922.0937448088590
2004,hou,1280.9257506883700
2000,hou,1037.9242518219200
1997,hou,868.7323963046940
2007,hou,1525.6577081666300
2010,hou,1622.7367431090600
2003,hou,1209.2418075257100
2011,hou,1674.8912238303400
2001,hou,1113.2849374367100
2008,fbt,175.8801261418180
2009,fbt,173.1581156770280
2005,fbt,159.4578150889810
2006,fbt,167.8853067251550
2012,fbt,187.3935783022960
2014,fbt,196.2046223335750
2013,fbt,189.4951956328780
1999,fbt,127.3594878637770
2002,fbt,141.2925920157450
2017,fbt,217.4757660486310
2016,fbt,208.9511538191610
2015,fbt,205.1966930914600
1998,fbt,120.4963687766950
2004,fbt,153.7742936105530
2000,fbt,128.5784867143230
1997,fbt,116.6559081495910
2007,fbt,170.1668620716590
2010,fbt,178.0049960555070
2003,fbt,145.4934037983150
2011,fbt,184.0017766346020
2001,fbt,139.1079112623420
2008,ins,697.8896127328150
2009,ins,628.9895242434620
2005,ins,590.0623464126420
2006,ins,619.7675169079130
2012,ins,777.8136370643360
2014,ins,912.3487894687930
2013,ins,829.7853078822460
1999,ins,380.0586214478960
2002,ins,449.9441442362670
2017,ins,1116.4876350796500
2016,ins,1033.4900181448500
2015,ins,985.2998268695830
1998,ins,363.8670650298590
2004,ins,541.3195331539670
2000,ins,409.9063508038220
1997,ins,340.4252607833570
2007,ins,674.9288152434100
2010,ins,643.3696972408810
2003,ins,493.3043040264800
2011,ins,707.0126311972490
2001,ins,428.8052047191260
2008,tex,56.2743559448949
2009,tex,46.1828248237090
2005,tex,76.6895826114121
2006,tex,71.3421849791426
2012,tex,51.4229174831859
2014,tex,55.5324539779324
2013,tex,53.7354170760195
1999,tex,86.1031536121213
2002,tex,75.0068765410867
2017,tex,53.6759908670780
2016,tex,51.9970816689250
2015,tex,53.2746682651457
1998,tex,87.2177427839211
2004,tex,73.3514929699098
2000,tex,84.6676560758618
1997,tex,88.6479297581476
2007,tex,64.0581066495025
2010,tex,49.5521039583825
2003,tex,71.9717993249863
2011,tex,52.5896527126074
2001,tex,76.3439371571744
2008,leg,276.7546431880860
2009,leg,272.8516071968970
2005,leg,245.2282022461900
2006,leg,257.6117172219490
2012,leg,297.1841681902320
2014,leg,304.6581671368040
2013,leg,297.0425145912600
1999,leg,176.4573572874270
2002,leg,204.7231891502580
2017,leg,346.2765488476560
2016,leg,324.4105525019850
2015,leg,316.5819940959620
1998,leg,166.1361762646220
2004,leg,233.9155813610660
2000,leg,183.1847051094970
1997,leg,152.6364687935120
2007,leg,269.9827125725270
2010,leg,278.4823652603110
2003,leg,225.3984090604090
2011,leg,289.1898293518490
2001,leg,195.6127518630390
2008,fen,104.7545087298340
2009,fen,102.0048616771820
2005,fen,90.3857690039114
2006,fen,97.7332764331221
2012,fen,104.1314792759850
2014,fen,101.5789899694090
2013,fen,102.7730796991360
1999,fen,82.1898709204214
2002,fen,89.1585207865652
2017,fen,97.6599318406721
2016,fen,99.6298975004876
2015,fen,99.8222118999748
1998,fen,78.8689883449424
2004,fen,89.7747573751680
2000,fen,84.8742459102892
1997,fen,77.6053642906037
2007,fen,102.2950752031330
2010,fen,99.8082855449386
