yr,i,fd,value
2017,ppd,fed_structures,-9.99E-09
2017,res,fed_structures,-9.99E-09
2017,com,fed_structures,-9.99E-09
2017,amb,fed_structures,-9.99E-09
2017,fbp,fed_structures,-9.99E-09
2017,rec,fed_structures,-9.99E-09
2017,con,fed_structures,12.88422213
2017,agr,fed_structures,-9.99E-09
2017,eec,fed_structures,-9.99E-09
2017,fnd,fed_structures,-9.99E-09
2017,pub,fed_structures,-9.99E-09
2017,hou,fed_structures,-9.99E-09
2017,fbt,fed_structures,0
2017,ins,fed_structures,-9.99E-09
2017,tex,fed_structures,-9.99E-09
2017,leg,fed_structures,-9.99E-09
2017,fen,fed_structures,-9.99E-09
2017,uti,fed_structures,-9.99E-09
2017,nmp,fed_structures,-9.99E-09
2017,brd,fed_structures,-9.99E-09
2017,bnk,fed_structures,-9.99E-09
2017,ore,fed_structures,-9.99E-09
2017,edu,fed_structures,-9.99E-09
2017,ote,fed_structures,-9.99E-09
2017,man,fed_structures,-9.99E-09
2017,mch,fed_structures,-9.99E-09
2017,dat,fed_structures,-9.99E-09
2017,amd,fed_structures,-9.99E-09
2017,oil,fed_structures,-9.99E-09
2017,hos,fed_structures,-9.99E-09
2017,rnt,fed_structures,-9.99E-09
2017,pla,fed_structures,-9.99E-09
2017,fof,fed_structures,-9.99E-09
2017,fin,fed_structures,-9.99E-09
2017,tsv,fed_structures,-9.99E-09
2017,nrs,fed_structures,-9.99E-09
2017,sec,fed_structures,-9.99E-09
2017,art,fed_structures,-9.99E-09
2017,mov,fed_structures,-9.99E-09
2017,fpd,fed_structures,-9.99E-09
2017,slg,fed_structures,-9.99E-09
2017,pri,fed_structures,-9.99E-09
2017,grd,fed_structures,-9.99E-09
2017,pip,fed_structures,-9.99E-09
2017,sle,fed_structures,-9.99E-09
2017,osv,fed_structures,-9.99E-09
2017,trn,fed_structures,-9.99E-09
2017,smn,fed_structures,-9.99E-09
2017,fmt,fed_structures,-9.99E-09
2017,pet,fed_structures,-9.99E-09
2017,mvt,fed_structures,0
2017,cep,fed_structures,-9.99E-09
2017,wst,fed_structures,-9.99E-09
2017,mot,fed_structures,-9.99E-09
2017,adm,fed_structures,-9.99E-09
2017,soc,fed_structures,-9.99E-09
2017,alt,fed_structures,-9.99E-09
2017,pmt,fed_structures,-9.99E-09
2017,trk,fed_structures,-9.99E-09
2017,fdd,fed_structures,-9.99E-09
2017,gmt,fed_structures,0
2017,wtt,fed_structures,-9.99E-09
2017,wpd,fed_structures,-9.99E-09
2017,wht,fed_structures,-9.99E-09
2017,wrh,fed_structures,-9.99E-09
2017,ott,fed_structures,-9.99E-09
2017,che,fed_structures,-9.99E-09
2017,air,fed_structures,-9.99E-09
2017,mmf,fed_structures,-9.99E-09
2017,otr,fed_structures,-9.99E-09
2017,min,fed_structures,-9.99E-09
2017,ppd,def_equipment,-9.99E-09
2017,res,def_equipment,-9.99E-09
2017,com,def_equipment,0.392209616
2017,amb,def_equipment,-9.99E-09
2017,fbp,def_equipment,-9.99E-09
2017,rec,def_equipment,-9.99E-09
2017,con,def_equipment,-9.99E-09
2017,agr,def_equipment,-9.99E-09
2017,eec,def_equipment,0.40901534
